target_id,run_id,truth,prediction
r3_s143000_l4,3,-0.0380497685185185,-0.01715493396441548
r3_s143000_l5,3,-0.0321180555555555,-0.014772896178803554
r3_s143000_l8,3,0.0026041666666666,-0.01056891152490028
r3_s143000_l10,3,0.023365162037037,0.03349915590411406
r5_s14000_l1,5,0.0012297453703704,0.002146106741200346
r5_s14000_l2,5,-0.0060040509259259,-0.009038976860936817
r5_s14000_l3,5,-0.0089699074074074,-0.010353830023775231
r5_s14000_l4,5,-0.0322627314814814,-0.037020342354983284
r5_s14000_l8,5,-0.0142505787037037,-0.0070840513569715245
r5_s72000_l1,5,0.0188802083333333,0.003034737631832877
r5_s72000_l2,5,-0.0055700231481481,-0.0073461407231976555
r5_s72000_l4,5,-0.0270543981481481,-0.04421184098758835
r5_s72000_l6,5,-0.0426070601851852,-0.028010640637942903
r5_s72000_l8,5,-0.0146846064814815,-0.003615159740418249
r5_s72000_l10,5,0.015552662037037,0.02104634432815861
r5_s143000_l1,5,0.0003616898148147,0.005947041580155809
r5_s143000_l2,5,-0.0217737268518519,-0.016731879117036857
r5_s143000_l4,5,-0.0344328703703703,-0.047602032219912896
r5_s143000_l5,5,-0.033058449074074,-0.02189438270494034
r5_s143000_l6,5,-0.0434027777777777,-0.03835380795791245
r5_s143000_l8,5,-0.0050636574074074,-0.017011483387832857
r5_s143000_l9,5,-0.0026765046296295,-0.01436124192902516
r5_s143000_l10,5,0.0304542824074073,0.03267264230960533
r6_s14000_l1,6,-0.0122251157407407,0.004662611422510713
r6_s14000_l2,6,-0.0125868055555555,-0.0010496482847082034
r6_s14000_l3,6,-0.0050636574074073,-0.0062651513235313944
r6_s14000_l4,6,-0.0384837962962962,-0.030673211822705902
r6_s14000_l5,6,-0.0129484953703704,-0.02269685629175701
r6_s14000_l8,6,-0.0266927083333333,-0.02313260846486894
r6_s14000_l9,6,-0.029224537037037,-0.025153765130359725
r6_s72000_l1,6,0.013671875,0.0051209644249260045
r6_s72000_l2,6,0.0094039351851852,-0.0039948690261528835
r6_s72000_l3,6,-0.0141059027777777,-0.013857327760968203
r6_s72000_l4,6,-0.0598958333333333,-0.044396793292621056
r6_s72000_l5,6,-0.0314670138888888,-0.02970230320868736
r6_s72000_l6,6,-0.0439091435185185,-0.04321510310135268
r6_s72000_l9,6,-0.0215567129629629,-0.020691731709984403
r6_s143000_l1,6,0.0089699074074073,0.0032990981550787297
r6_s143000_l2,6,0.001880787037037,-0.010478965361919617
r6_s143000_l3,6,0.0035445601851851,-0.026428994743312874
r6_s143000_l4,6,-0.0481047453703703,-0.04409708257345263
r6_s143000_l5,6,-0.0313946759259259,-0.029389183045892213
r6_s143000_l8,6,-0.0333478009259259,-0.015173621481310153
r6_s143000_l9,6,-0.0298755787037037,-0.01003619571395503
r8_s14000_l1,8,-0.0008680555555555,0.007964467033665702
r8_s14000_l2,8,-0.0137442129629629,-0.009195534783474835
r8_s14000_l4,8,-0.0251736111111111,-0.033057646468511684
r8_s14000_l6,8,-0.017433449074074,-0.030628536165702217
r8_s14000_l9,8,-0.027199074074074,-0.028242263979091468
r8_s72000_l1,8,0.0020978009259259,0.007707575894394445
r8_s72000_l2,8,-0.0062934027777777,0.0004104554881298912
r8_s72000_l4,8,-0.0511429398148148,-0.0333869682809525
r8_s72000_l5,8,-0.0261140046296296,-0.028797084666441607
r8_s72000_l7,8,-0.0452112268518518,-0.03890908168177375
r8_s72000_l9,8,-0.01171875,-0.025823236232936767
r8_s143000_l1,8,0.0004340277777777,0.00828571456507348
r8_s143000_l2,8,-0.0081741898148147,-0.0029686237199937713
r8_s143000_l4,8,-0.0786313657407408,-0.051516108711774436
r8_s143000_l5,8,-0.0219907407407407,-0.030532985946697712
r8_s143000_l6,8,-0.0285011574074073,-0.03276521084694649
r8_s143000_l7,8,-0.0517216435185184,-0.043462538775377854
r8_s143000_l9,8,-0.0180844907407407,-0.025507659845862406
r8_s143000_l10,8,0.0355902777777777,0.01738765147396558
