target_id,run_id,truth,prediction
r5_s143000_l9,5,-0.0026765046296295,-0.020256452700630995
r5_s143000_l10,5,0.0304542824074073,0.01885602044225705
r6_s14000_l1,6,-0.0122251157407407,0.008654278315517986
r6_s14000_l2,6,-0.0125868055555555,0.0019331601103239632
r6_s14000_l3,6,-0.0050636574074073,-0.01728135733377835
r6_s14000_l4,6,-0.0384837962962962,-0.035668520285470504
r6_s14000_l5,6,-0.0129484953703704,-0.023658737787718463
r6_s14000_l8,6,-0.0266927083333333,-0.020943797054200287
r6_s14000_l9,6,-0.029224537037037,-0.0241146500933342
r6_s72000_l1,6,0.013671875,0.005948658551860058
r6_s72000_l2,6,0.0094039351851852,-0.0033366588637782375
r6_s72000_l3,6,-0.0141059027777777,-0.027829636443001484
r6_s72000_l4,6,-0.0598958333333333,-0.046932009341792924
r6_s72000_l5,6,-0.0314670138888888,-0.0305868736507463
r6_s72000_l6,6,-0.0439091435185185,-0.038557436118295416
r6_s72000_l9,6,-0.0215567129629629,-0.0221955137939093
r6_s143000_l1,6,0.0089699074074073,0.003589093207320891
r6_s143000_l2,6,0.001880787037037,-0.011652236350716424
r6_s143000_l3,6,0.0035445601851851,-0.04198679789210627
r6_s143000_l4,6,-0.0481047453703703,-0.04312460524337948
r6_s143000_l5,6,-0.0313946759259259,-0.03482474737307059
r6_s143000_l8,6,-0.0333478009259259,-0.003954698781264426
r6_s143000_l9,6,-0.0298755787037037,-0.003986298117941364
r8_s14000_l1,8,-0.0008680555555555,0.017245741644464484
r8_s14000_l2,8,-0.0137442129629629,-0.006164517051961752
r8_s14000_l4,8,-0.0251736111111111,-0.041160799112884366
r8_s14000_l6,8,-0.017433449074074,-0.03766448928757736
r8_s14000_l9,8,-0.027199074074074,-0.029395086214643405
r8_s72000_l1,8,0.0020978009259259,0.007092388008663949
r8_s72000_l2,8,-0.0062934027777777,-0.004120657818089096
r8_s72000_l4,8,-0.0511429398148148,-0.03745310953894215
r8_s72000_l5,8,-0.0261140046296296,-0.02670222768373626
r8_s72000_l7,8,-0.0452112268518518,-0.04013796083777134
r8_s72000_l9,8,-0.01171875,-0.02198199609811854
r8_s143000_l1,8,0.0004340277777777,0.007370370938503806
r8_s143000_l2,8,-0.0081741898148147,-0.00871596337000868
r8_s143000_l4,8,-0.0786313657407408,-0.05035197069870859
r8_s143000_l5,8,-0.0219907407407407,-0.0283703687384801
r8_s143000_l6,8,-0.0285011574074073,-0.03417042660838812
r8_s143000_l7,8,-0.0517216435185184,-0.04033506252094675
r8_s143000_l9,8,-0.0180844907407407,-0.022994381480571733
r8_s143000_l10,8,0.0355902777777777,0.02130104032612669
