target_id,run_id,step,layer,match_class,selected_beta,family,kl,nll_damage,delta_b_mean,delta_b_median,delta_b_q10,delta_b_q25,delta_b_q75,delta_b_q90,delta_margin_mean,delta_margin_identity_max_abs,logit_delta_norm_mean,logit_delta_norm_median,cosine_alignment_mean,abs_cosine_alignment_mean,intact_margin_mean,intact_margin_median,intact_margin_std,intact_margin_q10,intact_margin_q25,intact_margin_q75,intact_margin_q90,baseline_nll
r6_s72000_l2,6,72000,2,A,0.589986659391,block,0.569165998035007,0.5819150341881647,-0.24401770532131195,-0.140625,-2.078125,-0.9765625,0.5986328125,1.40625,-0.24401770532131195,0.0,268.8427734375,253.03167724609375,-0.0005777252372354269,0.0029444892425090075,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l2,6,72000,2,A,0.589986659391,noise,0.5700084368387858,0.5801390541924372,-0.35933586955070496,-0.23828125,-2.209765672683716,-1.1015625,0.5078125,1.296875,-0.35933586955070496,0.0,267.12481689453125,254.34429931640625,-0.0008873491315171123,0.002950355876237154,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l3,6,72000,3,A,0.648777101839,block,0.6611291766166687,0.6523049672444658,-0.2529809772968292,-0.1953125,-2.1484375,-1.072265625,0.671875,1.5625,-0.2529809772968292,0.0,292.22503662109375,278.7225341796875,-0.0005687118973582983,0.0028946606907993555,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l3,6,72000,3,A,0.648777101839,noise,0.6451545777144255,0.6669001579284668,-0.38485196232795715,-0.21875,-2.359375,-1.140625,0.5546875,1.375,-0.38485196232795715,0.0,278.7584228515625,266.8329772949219,-0.0008628255454823375,0.003005902050063014,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l4,6,72000,4,A,0.729123600034,block,1.7777680026160345,1.7505127059088812,-0.5701337456703186,-0.34375,-3.645703077316284,-1.845703125,0.953125,2.265625,-0.5701337456703186,0.0,450.2067565917969,439.4317932128906,-0.0008466188446618617,0.002974563278257847,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l4,6,72000,4,A,0.729123600034,noise,1.724853060863636,1.7968071301778155,-0.4842071235179901,-0.298828125,-3.8046875,-1.78125,1.0859375,2.5703125,-0.4842071235179901,0.0,463.0400085449219,448.569580078125,-0.0006775778601877391,0.0030646654777228832,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l5,6,72000,5,A,0.285218258752,block,0.32503095600340104,0.32531163427564813,-0.19462013244628906,-0.1171875,-1.640625,-0.775390625,0.4765625,1.1015625,-0.19462013244628906,0.0,206.31304931640625,196.4073486328125,-0.0005683175404556096,0.002990543143823743,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l5,6,72000,5,A,0.285218258752,noise,0.32057441605461967,0.32829937228450046,-0.11929868906736374,-0.046875,-1.375,-0.6171875,0.46875,1.0703125,-0.11929868906736374,0.0,225.42581176757812,204.02993774414062,-0.0002603702596388757,0.0024541830644011497,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l6,6,72000,6,A,0.22985673747,block,0.22372630735238394,0.21390541394551565,-0.08575566858053207,-0.0546875,-1.296875,-0.6328125,0.5,1.1105468273162842,-0.08575566858053207,0.0,182.7052001953125,176.48690795898438,-0.00028757049585692585,0.0029386423993855715,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
r6_s72000_l6,6,72000,6,A,0.22985673747,noise,0.2187657372819053,0.21829601570411938,-0.08486169576644897,-0.03125,-1.052343726158142,-0.46875,0.390625,0.8671875,-0.08486169576644897,0.0,186.3779296875,166.12161254882812,-0.00021974515402689576,0.0023637188132852316,1.5339372158050537,0.84375,1.864323641674929,0.1171875,0.3359375,1.9140625,3.8984375,3.6699788835313587
