target_id,run_id,step,layer,geometry_match,delta_b_standardized_difference,absolute_log_norm_ratio,absolute_cosine_difference,pass_delta_b,pass_norm,pass_cosine,failure_reason
r2_s14000_l1,2,14000,1,False,1.2614582308449505,0.002233244247995536,7.145386189222336e-05,False,True,True,delta_boundary
r2_s14000_l10,2,14000,10,True,0.03064822562153905,0.09708108370059776,0.0005072229541838169,True,True,True,
r2_s14000_l2,2,14000,2,False,0.9042012416137907,0.02091023339279907,0.00020886189304292202,False,True,True,delta_boundary
r2_s14000_l3,2,14000,3,True,0.08626313594090823,0.06442169663625918,0.00018535694107413292,True,True,True,
r2_s14000_l4,2,14000,4,False,0.7084624176262992,0.17129890936521175,0.0005906112492084503,False,True,True,delta_boundary
r2_s14000_l6,2,14000,6,True,0.2834157061142346,0.05591087447530807,0.0005668499507009983,True,True,True,
r2_s14000_l9,2,14000,9,True,0.21873154676747075,0.05116572214888304,0.0005252950359135866,True,True,True,
r2_s143000_l1,2,143000,1,False,1.2751347777101107,0.24292842037290896,0.0004444061778485775,False,False,True,delta_boundary;log_norm
r2_s143000_l10,2,143000,10,False,2.6980963000582228,0.15630015729210367,5.357631016522646e-05,False,True,True,delta_boundary
r2_s143000_l2,2,143000,2,False,0.5356057891401904,0.3266489045095504,0.00044831738341599703,False,False,True,delta_boundary;log_norm
r2_s143000_l3,2,143000,3,False,1.3820848362335556,0.26845442513169004,0.0005390325095504522,False,False,True,delta_boundary;log_norm
r2_s143000_l4,2,143000,4,True,0.30347303066947734,0.06074013642954501,0.00022482022177428007,True,True,True,
r2_s143000_l6,2,143000,6,True,0.12347102305119693,0.0845283931064511,0.00033949490170925856,True,True,True,
r2_s143000_l9,2,143000,9,False,0.5021595906779498,0.16171081305541346,0.0002476380905136466,False,True,True,delta_boundary
r2_s72000_l1,2,72000,1,False,1.1493346180755029,0.0002374597728831418,0.00010661059059202671,False,True,True,delta_boundary
r2_s72000_l10,2,72000,10,False,1.2672251390609193,0.021322694772012873,0.0001030871644616127,False,True,True,delta_boundary
