target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio,family_residual,reversal,block_kl,reveal_kl,block_nll_damage,reveal_nll_damage,mean_kl,mean_nll,delta_boundary_difference,output_log_norm_ratio,output_abs_cosine_difference,resid_base,resid_aug
r3_s14000_l1,3,14000,1,0.649370222483,1.0,13824,7.410288247591926e-05,-0.0001694739694357,-0.0456082101911306,0.0469777207821607,0.0361326379118752,0.999925897117524,12.805036743688914,19.37185179518053,0.413982484918947,0.0036892361111111,True,0.6331983407338461,0.6385221547550626,0.718385034137302,0.7120556389843973,0.6358602477444544,0.7152203365608496,-0.1739371865987777,-0.0316966321565843,-6.205285899341106e-05,0.013055643537675823,0.01516211082682808
r3_s14000_l2,3,14000,2,0.592865727479,1.0,13824,-0.0003808083494703,-0.0005406854324974,-0.0470592591911554,0.0465940859168768,0.0363589983470604,1.0003808083494703,14.294782603780428,19.682670091934227,0.319843940015827,-0.017505787037037,False,0.5016940666569604,0.4783003010131694,0.5203430122799345,0.5420866454089133,0.48999718383506485,0.5312148288444238,-0.1475192457437515,-0.0411134086801414,-2.2789929062128067e-05,-0.011002804200501865,-0.007143657069047092
r3_s14000_l3,3,14000,3,0.723505480648,1.0,13824,0.000182780885578,0.0001754483382683,-0.0456081829965114,0.0461064200848341,0.0359926394472244,0.999817219114422,20.20404491366612,28.67620387425025,0.3501848179311042,-0.0251012731481481,False,1.1653783188925848,1.1594278944863214,1.2564765877193873,1.2626827822791205,1.1624031066894531,1.2595796849992538,0.0620791912078857,0.0734709602831973,-0.0001457731705158,0.00042998035053232186,-0.0011754292030703647
r3_s14000_l4,3,14000,4,0.46204268995,1.0,13824,0.0003162459182307,0.0002322918808204,-0.0458799373358488,0.0467725317925214,0.0363098220486113,0.9996837540817692,16.796932102077538,19.245312843954675,0.1360712856980345,-0.0266203703703703,False,0.4211405383216011,0.4182443409054368,0.4601081477271185,0.463352618394075,0.41969243961351893,0.46173038306059677,0.0658689886331558,0.1411131970126236,-0.0004492450971156,-0.00511508781495729,-0.012410825824826686
r3_s14000_l5,3,14000,5,0.390096630006,1.0,13824,-0.000238803089452,-0.0003680656081996,-0.0462351527065038,0.0466751139611005,0.0360750507108535,1.000238803089452,17.699299975401825,17.337415555630017,-0.0206581743760239,-0.0141782407407407,False,0.2574349194765091,0.2654296822018093,0.303992615805732,0.294494143238774,0.2614323008391592,0.299243379522253,0.0704013407230377,0.117210931347661,-0.0005230826791375,0.011504341434250043,0.01031501400510311
r3_s14000_l8,3,14000,8,0.355654776257,1.0,13824,-0.0002859178787776,-0.0003389211342437,-0.046314725279808,0.0462991088628769,0.0362337832753198,1.0002859178787775,21.2590950574312,21.8432839140296,0.0271086954313697,-0.0128761574074074,False,0.1952278746498955,0.1921509680924592,0.2021975252363418,0.2049733621102794,0.19368942137117734,0.2035854436733106,-0.0125137651339173,-0.0375129688657839,-0.0001188192982226,-0.0005892510581596167,0.005420666637130462
r3_s14000_l9,3,14000,9,0.371322893124,1.0,13824,-0.0002676247212798,-0.0001279369389521,-0.0466155167669057,0.0466663006693124,0.0364503001341602,1.0002676247212798,20.80744815659192,25.018994800815427,0.1843243213431029,-0.0264033564814814,False,0.2099452780352698,0.2063104681394718,0.2110987769232855,0.2150186785945189,0.2081278730873708,0.2130587277589022,-0.0090754218399524,0.0786520778971915,-0.0004021797794848,-0.008358766832678742,-0.019903255307366988
r3_s14000_l10,3,14000,10,0.443722056922,1.0,13824,-0.0003589851896975,0.0002394437688053,-0.0463773030787706,0.0447888102382421,0.0356026896542,1.0003589851896977,28.11962829447455,34.16195283637003,0.1946446863187478,-0.0052806712962962,False,0.2584894531302982,0.266088264407935,0.2954315344492597,0.2864877471217406,0.26228885876911656,0.29095964078550013,-0.0275273770093917,0.1017579734187716,-0.0005498907994478,0.01968032456351396,0.007596183270225675
r3_s72000_l1,3,72000,1,0.657500841239,1.0,13824,0.0003705335191487,0.0003833131340797,-0.0453464426100254,0.0463033348321914,0.0359966295350939,0.9996294664808512,10.21188598136521,14.467913793882838,0.3483810215182076,0.0108506944444444,True,0.8216641214158799,0.8235558801227145,0.8519875208536782,0.8505623428909868,0.8226100007692971,0.8512749318723325,-0.122162789106369,0.0215161264274833,-1.2285076081752775e-05,0.017336916691739413,0.01196443476422549
r3_s72000_l2,3,72000,2,0.68417864495,1.0,13824,-0.0004162813661666,-0.0001910068385768,-0.046696888282895,0.0458524115383625,0.0360778912196914,1.0004162813661666,11.588062781219682,16.69425625450633,0.3650892257358185,-0.0045572916666666,False,0.8010647826724583,0.7897802657551236,0.798615190717909,0.8069694660328048,0.7954225242137909,0.8027923283753569,-0.1016850471496582,-0.0145293760070281,-5.235825665295124e-05,0.00949672634174536,-0.00419567059490762
r3_s72000_l3,3,72000,3,0.674128647469,1.0,13824,0.0004700058929522,0.0006049908406566,-0.0464690871536731,0.046868060156703,0.0362835561665362,0.9995299941070478,16.742866557298434,19.704216730263497,0.1628603696771796,-0.0324797453703704,False,1.7865699529647827,1.754473787766916,1.7594680786132812,1.7884020452146174,1.7705218703658494,1.7739350619139493,0.0940795838832855,0.0645618097483822,-8.746166713535786e-05,0.006778022070655233,0.019258287111251333
r3_s72000_l4,3,72000,4,0.324685111242,1.0,13824,0.0001688860466596,0.00022901975899,-0.0461333397775888,0.0463405009359121,0.0363419184315577,0.9998311139533403,12.526836392987104,9.766888517058558,-0.2488753122719744,-0.0329861111111111,False,0.420711682902442,0.430899691802484,0.4373422463734943,0.4262613278848155,0.425805687352463,0.4318017871291549,0.0901241898536682,0.1226222516472424,-0.0005209490191191,-0.003950229696980487,0.002401654477800011
r3_s72000_l5,3,72000,5,0.269183573168,1.0,13824,-0.0003090785856085,9.444655006518587e-05,-0.0465767003595829,0.0460603963583707,0.0359009937527435,1.0003090785856086,12.50375034266876,8.359600663737014,-0.4026179682623975,-0.0394965277777777,False,0.2777864734331767,0.2754284899543833,0.2731298870510523,0.2754917321381742,0.27660748169378,0.27431080959461324,0.0742847174406051,0.0600573535001168,-0.0005698648747056,-0.004077010022615131,0.009722646574670486
r3_s72000_l6,3,72000,6,0.349443536227,1.0,13824,-1.1083675249498502e-05,8.824298856779933e-05,-0.0464860018342733,0.0466999482363462,0.0363718402920745,1.0000110836752496,14.083859918225142,12.068691676758506,-0.1544148204797037,-0.0380497685185185,False,0.3916894363032446,0.4058621923128764,0.4318052397833927,0.415422651502821,0.39877581430806053,0.42361394564310684,0.0752228796482086,0.1183298906437481,-0.0006840459536761,0.0004375974620756326,-0.005709207944340648
r3_s72000_l8,3,72000,8,0.391466155654,1.0,13824,-0.0001559972098238,4.002562673122157e-05,-0.0468361716717481,0.0464245706796646,0.0362943649885215,1.0001559972098235,17.617008954700495,17.575780923926718,-0.0023429827402886,-0.0248119212962963,False,0.3690718511740367,0.3844910970440617,0.4042413499620223,0.3873753017849388,0.37678147410904916,0.3958083258734806,-0.0069627687335014,-0.0168274358427802,-0.0002408549189567,-0.003915659287970011,-0.009468179055002423
r3_s72000_l9,3,72000,9,0.368810393754,1.0,13824,0.0001894360803188,6.654863682342693e-05,-0.0468288574367761,0.046347514912486,0.0362518265400195,0.9998105639196812,19.80505414886607,19.654427635173004,-0.00763452729232,-0.0130208333333333,False,0.319050669670105,0.3310327342262975,0.3441070450676811,0.330175081888834,0.32504170194820126,0.33714106347825756,-0.0330697186291217,-0.0139351885451829,-9.551597759127616e-05,-0.004251760943906519,-0.0033399139007684164
r3_s72000_l10,3,72000,10,0.492052665603,1.0,13824,-5.846911478099467e-05,-2.3561260604765263e-05,-0.0459627840667963,0.0469343591481447,0.0361979134884118,1.000058469114781,28.802330437633728,31.096693554410223,0.0766451951131201,0.0085358796296296,True,0.4807328250673082,0.496789327374211,0.5195619265238443,0.5021944752445924,0.4887610762207596,0.5108782008842183,0.1208596751093864,0.0481120186313993,-0.0001502882223576,0.02441564574004655,0.005896887315158901
r3_s143000_l1,3,143000,1,0.692902384351,1.0,13824,0.0003844085915985,0.0002388610228081,-0.0455038826912641,0.0464396517723798,0.0360644556929618,0.9996155914084016,5.792486644608693,7.81303143132202,0.2992313642716271,0.0043402777777777,True,0.8428021934297351,0.8334698036864951,0.8603199587927923,0.8679037535632097,0.8381359985581152,0.864111856178001,-0.0744267255067825,0.1389376841318344,-0.0002230035606771,0.01768630606293245,-0.0005381664773468353
r3_s143000_l2,3,143000,2,0.754475145664,1.0,13824,-0.0002410966038123,6.882095112814568e-05,-0.0467311479151248,0.0457505095750093,0.0360563588059168,1.0002410966038124,6.891668731191506,9.593960818386188,0.3308205672910494,-0.0169270833333333,False,0.9341029723485312,0.920106417602963,0.9460280471377904,0.9573600822024876,0.9271046949757471,0.9516940646701391,-0.0706470608711242,-0.0744408887753,8.43629240989685e-05,0.003237372721790425,-0.017185014636733227
r3_s143000_l3,3,143000,3,0.681526128789,1.0,13824,0.0002622580437913,0.0001051153303706,-0.0461796797811985,0.0470942180603742,0.0361775884116342,0.9997377419562086,10.126017837992144,10.50453409863015,0.0366988477244953,-0.0373263888888889,False,1.7876547045177882,1.7530632504710444,1.8058287567562523,1.8374121895542848,1.7703589774944164,1.8216204731552685,0.1171648800373077,0.0905096295077825,2.620532177388668e-05,-0.004528277652616368,0.009779634208690512
r3_s143000_l4,3,143000,4,0.381006321887,1.0,13824,5.588739896108571e-05,-0.0001754506956785,-0.0460904501378536,0.0461020700633525,0.0362363597100931,0.9999441126010388,7.91358453180227,6.299676953711444,-0.2280824888141705,-0.0380497685185185,False,0.5821225576930575,0.5995735746842844,0.6313434176974825,0.6140430150208656,0.590848066188671,0.6226932163591741,0.0762849003076553,0.1596606365847645,-0.0002257958985865,-0.025966031230761643,-0.017793260218546214
r3_s143000_l5,3,143000,5,0.391832724372,1.0,13824,-0.0002172432015416,-0.000137820119562,-0.0459904260933399,0.0461224593222141,0.0358458052404423,1.0002172432015417,8.619854047997958,6.685306011285219,-0.2541561674299442,-0.0321180555555555,False,0.519927226834827,0.5269865791002909,0.5389819410112168,0.5339431939301673,0.5234569029675589,0.536462567470692,0.1066532880067825,0.2878952840508174,-0.0004053940065205,-0.022861490416377372,-0.01756165742675663
r3_s143000_l8,3,143000,8,0.430339887499,1.0,13824,-0.0004473522570836,-0.0006596600287593,-0.0466187790036201,0.0462018180638551,0.0362125043891022,1.0004473522570836,12.81818444478429,10.856101595624178,-0.166137541526445,0.0026041666666666,True,0.4659952885574765,0.4732493382913095,0.4829959604475231,0.470776496110139,0.469622313424393,0.47688622827883104,-0.0372585691511631,0.2548586580511376,-0.0001881801290437,-0.006302269779909138,0.00923379291806859
r3_s143000_l10,3,143000,10,0.78055982873,1.0,13824,0.0002111457549338,-7.34483874111902e-05,-0.0453978899866342,0.0466323912143707,0.0360875672671101,0.999788854245066,23.4554420111494,23.117936542740576,-0.0144937467345366,0.023365162037037,True,0.971138185924954,1.00735471645991,1.0564743412865532,1.0224278502994113,0.9892464511924319,1.0394510957929821,0.385317213833332,0.4672553364759671,-0.0001611440093256,0.01879335722296983,-0.0012756374809998888
r5_s14000_l1,5,14000,1,0.631372890605,1.0,13824,0.0001857234837526,0.0003427949122851,-0.0456155709922313,0.0460696443915367,0.0358611051800407,0.9998142765162474,11.88303988530404,18.99815462446875,0.4692296856180591,0.0012297453703704,True,0.6387513412369622,0.637866806100916,0.622386932373047,0.622766229841444,0.6383090736689391,0.6225765811072455,-0.1690968945622444,0.0179745361348512,-0.0002261579502373,0.01801044123927997,0.011331920399502026
