target_id,run_id,step,progress,layer,target_kl,target_nll_damage,selected_beta,match_class,absolute_kl_error,relative_kl_error,absolute_nll_error,relative_nll_error,achieved_kl,achieved_nll_damage,activation_relative_magnitude,activation_absolute_rms,objective,boundary_selected,trial_count,verification_kl_difference,verification_nll_difference,noise_s,noise_ds,baseline_nll,intervened_nll,reveal_nll_damage,reveal_kl,tokens_across_directions,confidence_bins,block_s,block_ds,block_kl,block_nll_damage,family_residual,reveal_kl_difference,reveal_nll_difference
r2_s72000_l2,2,72000,0.5034965034965035,2,0.92882463004854,0.9390635490417482,0.699480193099,A,0.0154512303846854,0.0166352504927236,0.0150848141422977,0.016063677647455,0.9133733996638546,0.954148363184046,0.6994801406507138,0.6275272545991121,0.0534773298518152,False,21,0.0,0.0,0.5177951388888888,0.48220486111111116,3.726160579257541,4.680308942441587,0.954148363184046,0.9133733996638546,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.17364341085271318}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.28175370728562216}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.3843404808317089}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.5524022902663679}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.7074784910655195}]",0.4978298611111111,0.5021701388888888,0.92882463004854,0.9390635490417482,-0.01996527777777768,0.0,0.0
r2_s72000_l3,2,72000,0.5034965034965035,3,0.8842032485538058,0.8943626085917153,0.44408862564,A,0.0127062002817789,0.0143702257400057,0.0133019376684115,0.0148730923460029,0.8714970482720269,0.9076645462601268,0.4440885991961867,0.484436508682039,0.0427712263752417,False,21,0.0,0.0,0.552734375,0.447265625,3.726160579257541,4.633825125517668,0.9076645462601269,0.8714970482720269,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.19689922480620156}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.2927143778207608}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.42560103963612733}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.5845158078167787}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.7504963600264726}]",0.5032552083333334,0.4967447916666667,0.8842032485538058,0.8943626085917153,-0.049479166666666685,0.0,1.1102230246251565e-16
r2_s72000_l4,2,72000,0.5034965034965035,4,0.3037220537662506,0.3406482802497017,0.271469520611,B,0.0162158464943921,0.0533904149970574,0.0172285062295418,0.0505756442300616,0.3199379002606427,0.3234197740201598,0.2714695775950396,0.2963550863442598,0.5408432202877571,False,21,0.0,0.0,0.7210648148148148,0.27893518518518523,3.726160579257541,4.049580353277701,0.32341977402015987,0.3199379002606427,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.351937984496124}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.4738878143133462}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.5968161143599741}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.7637540453074434}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.9046988749172733}]",0.6905381944444445,0.3094618055555555,0.3037220537662506,0.3406482802497017,-0.030526620370370294,0.0,5.551115123125783e-17
r2_s72000_l5,2,72000,0.5034965034965035,5,0.3947205775313907,0.464462439219157,0.344645089413,B,0.0304319229390885,0.0770973814675049,0.03785577526799,0.0815044922288027,0.4251525004704793,0.426606663951167,0.34464501230805,0.3961713060184761,1.2586988482679655,False,21,0.0,0.0,0.6806278935185185,0.3193721064814815,3.726160579257541,4.152767243208708,0.426606663951167,0.4251525004704793,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.2682170542635659}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.4442295293359123}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.5458089668615984}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.7246701518546179}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.8727112287668211}]",0.6538628472222222,0.3461371527777778,0.3947205775313907,0.464462439219157,-0.02676504629629628,0.0,0.0
r2_s72000_l6,2,72000,0.5034965034965035,6,0.2554864916536543,0.2966276009877524,0.273982019981,B,0.0153854991550799,0.0602204016949623,0.0184876830489546,0.0623262399969842,0.2708719908087342,0.2781399179387978,0.2739820811483595,0.3302305451145879,0.7511056972518872,False,21,0.0,0.0,0.7447916666666666,0.25520833333333337,3.726160579257541,4.004300497196339,0.2781399179387978,0.2708719908087342,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.36589147286821705}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.5099935525467441}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.6098115659519169}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.7978590988299726}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.9236708581513347}]",0.6983506944444443,0.3016493055555556,0.2554864916536543,0.2966276009877524,-0.04644097222222221,0.0,0.0
r2_s72000_l7,2,72000,0.5034965034965035,7,0.3825724124908447,0.3660224808586971,0.341906038116,A,0.0093260197727768,0.0243771361140047,0.0079033992908617,0.021592660845035,0.3732463927180678,0.3739258801495588,0.3419060497372239,0.4628017754466445,0.1060487767495075,False,21,0.0,0.0,0.6971932870370371,0.3028067129629629,3.726160579257541,4.1000864594071,0.37392588014955885,0.37324639271806787,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.3085271317829457}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.45325596389426176}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.5610786224821313}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.7415982076176251}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.8890359585263622}]",0.656032986111111,0.3439670138888889,0.3825724124908447,0.3660224808586971,-0.041160300925925986,5.551115123125783e-17,5.551115123125783e-17
r2_s72000_l9,2,72000,0.5034965034965035,9,0.3535401688681708,0.3771826161278618,0.37324227185,A,0.0116625163290235,0.0329878111625255,0.0129683370943419,0.0343821176793348,0.3652026851971944,0.3642142790335199,0.3732422336384102,0.7235322793324789,0.2270325701422501,False,21,0.0,0.0,0.6934317129629629,0.3065682870370371,3.726160579257541,4.090374858291061,0.3642142790335199,0.3652026851971944,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.31317829457364343}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.43520309477756286}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.5513320337881742}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.7308937017674881}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.8991837635120229}]",0.6566840277777778,0.3433159722222221,0.3535401688681708,0.3771826161278618,-0.03674768518518501,0.0,0.0
r2_s72000_l10,2,72000,0.5034965034965035,10,0.5688886642456055,0.5656325022379556,0.52014326253,A,0.003988382992921,0.0070108322481745,0.0046038451018155,0.0081392866986816,0.5649002812526844,0.5702363473397711,0.5201431159619931,1.2202291091283162,0.0115399756775787,False,21,0.0,0.0,0.6040219907407407,0.3959780092592593,3.726160579257541,4.296396926597312,0.5702363473397711,0.5649002812526844,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.16744186046511628}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.3120567375886525}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.4506172839506173}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.623848643266119}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.8526362232517097}]",0.6284722222222222,0.3715277777777778,0.5688886642456055,0.5656325022379556,0.02445023148148151,0.0,0.0
r2_s143000_l1,2,143000,1.0,1,1.0257128013504877,1.0317671828799777,0.734741719419,A,0.0045456886291501,0.0044317362746772,0.004178223786531,0.0040495800369075,1.021167112721337,1.0359454066665088,0.7347417694550974,0.2938111192650265,0.0036039384883679,False,21,0.0,0.0,0.4852430555555556,0.5147569444444444,3.695264048046536,4.731209454713045,1.0359454066665088,1.0211671127213373,13824,"[{'low': 0.0, 'high': 0.05, 'count': 663, 'agreement': 0.18401206636500755}, {'low': 0.05, 'high': 0.1, 'count': 1635, 'agreement': 0.25321100917431194}, {'low': 0.1, 'high': 0.2, 'count': 3168, 'agreement': 0.3345959595959596}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.5061341686243801}, {'low': 0.4, 'high': 1.01, 'count': 4527, 'agreement': 0.7009056770488182}]",0.4809027777777777,0.5190972222222222,1.0257128013504877,1.0317671828799777,-0.00434027777777779,2.220446049250313e-16,0.0
r2_s143000_l2,2,143000,1.0,2,1.2016478247112696,1.209634330537584,0.75,A,0.0023160289835044,0.001927377502688,0.0047038219593191,0.0038886313330945,1.1993317957277652,1.2143381524969032,0.7499998322239628,0.3448107827592779,0.0018836237682623,False,21,0.0,0.0,0.45326967592592593,0.5467303240740741,3.695264048046536,4.909602200543439,1.2143381524969032,1.1993317957277652,13824,"[{'low': 0.0, 'high': 0.05, 'count': 663, 'agreement': 0.1779788838612368}, {'low': 0.05, 'high': 0.1, 'count': 1635, 'agreement': 0.22507645259938838}, {'low': 0.1, 'high': 0.2, 'count': 3168, 'agreement': 0.33585858585858586}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.48238057948316365}, {'low': 0.4, 'high': 1.01, 'count': 4527, 'agreement': 0.633532140490391}]",0.4420572916666667,0.5579427083333333,1.2016478247112696,1.209634330537584,-0.01121238425925919,0.0,0.0
