target_id,run_id,step,progress,layer,target_kl,target_nll_damage,selected_beta,match_class,absolute_kl_error,relative_kl_error,absolute_nll_error,relative_nll_error,achieved_kl,achieved_nll_damage,activation_relative_magnitude,activation_absolute_rms,objective,boundary_selected,trial_count,verification_kl_difference,verification_nll_difference
r3_s14000_l3,3,14000,0.0979020979020979,3,1.1653783188925848,1.2564765877193873,0.723505480648,A,0.005950424406263366,0.0051060023254188595,0.006206194559733147,0.0049393634711435265,1.1594278944863214,1.2626827822791205,0.7235055455455074,1.034763358257435,0.005046857124733342,False,21,0.0,0.0
r3_s14000_l4,3,14000,0.0979020979020979,4,0.4211405383216011,0.4601081477271185,0.46204268995,A,0.0028961974161643145,0.006877033086626717,0.003244470666956545,0.007051539258708646,0.4182443409054368,0.46335261839407504,0.4620427136067991,0.6944554977946811,0.00970177899921086,False,21,0.0,0.0
r3_s14000_l5,3,14000,0.0979020979020979,5,0.2574349194765091,0.30399261580573206,0.390096630006,A,0.007994762725300253,0.031055471190646767,0.009498472566958072,0.031245734511514817,0.26542968220180935,0.294494143238774,0.3900966986461922,0.6256101043136032,0.19407382160510747,False,21,0.0,0.0
r3_s14000_l6,3,14000,0.0979020979020979,6,0.2951902614699469,0.40075892872280566,0.449480193099,C,0.027562106097186123,0.09337064833996507,0.04830461961251736,0.1205328594083748,0.32275236756713305,0.3524543091102883,0.449480171556826,0.8013290762901306,2.3246248168716033,False,21,0.0,0.0
r3_s14000_l7,3,14000,0.0979020979020979,7,0.19824758337603673,0.2768083678351507,0.388543819998,C,0.025413995539700557,0.12819321732344652,0.04323970829999002,0.15620809673493904,0.2236615789157373,0.2335686595351607,0.3885438519495505,0.7534699417926647,4.083447045363055,False,21,0.0,0.0
r3_s14000_l8,3,14000,0.0979020979020979,8,0.19522787464989555,0.2021975252363418,0.355654776257,A,0.0030769065574363375,0.01576059035083197,0.0027758368739375927,0.01372834247441596,0.1921509680924592,0.2049733621102794,0.3556548202479327,0.7882015550578082,0.04368635953059999,False,21,0.0,0.0
r3_s14000_l9,3,14000,0.0979020979020979,9,0.20994527803526983,0.2110987769232855,0.371322893124,A,0.003634809895798008,0.01731313002033827,0.003919901671233461,0.018569040182735908,0.20631046813947182,0.21501867859451895,0.3713229883600164,0.9027952529765941,0.06445537244153211,False,21,0.0,0.0
r3_s14000_l10,3,14000,0.0979020979020979,10,0.2584894531302982,0.29543153444925974,0.443722056922,A,0.0075988112776367855,0.02939698771298423,0.008943787327519104,0.030273637999280414,0.266088264407935,0.28648774712174063,0.4437221089998881,1.2327134565070823,0.17806760443217112,False,21,0.0,0.0
r3_s72000_l1,3,72000,0.5034965034965035,1,0.8216641214158799,0.8519875208536782,0.657500841239,A,0.0018917587068346675,0.002302350385669163,0.0014251779626914818,0.0016727685885138351,0.8235558801227145,0.8505623428909868,0.6575007725644995,0.5220657697430363,0.0008098972049128985,False,21,0.0,0.0
r3_s72000_l2,3,72000,0.5034965034965035,2,0.8010647826724583,0.798615190717909,0.68417864495,A,0.011284516917334675,0.01408689679213452,0.008354275314895854,0.010460952173192926,0.7897802657551236,0.8069694660328048,0.6841787298520406,0.6024021263475772,0.03078721816028491,False,21,0.0,0.0
