run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,3,1.0,0,0.0,0.05,224,34.0,0.15178571428571427,0.8482142857142857
1,pilot,14000,0.0979020979020979,3,1.0,1,0.05,0.1,547,106.0,0.19378427787934185,0.8062157221206582
1,pilot,14000,0.0979020979020979,3,1.0,2,0.1,0.2,1126,346.0,0.30728241563055064,0.6927175843694493
1,pilot,14000,0.0979020979020979,3,1.0,3,0.2,0.4,1277,527.0,0.41268598277212215,0.5873140172278779
1,pilot,14000,0.0979020979020979,3,1.0,4,0.4,1.01,1434,727.0,0.50697350069735,0.49302649930264997
1,pilot,14000,0.0979020979020979,4,0.25,0,0.0,0.05,224,171.0,0.7633928571428571,0.2366071428571429
1,pilot,14000,0.0979020979020979,4,0.25,1,0.05,0.1,547,466.0,0.8519195612431444,0.14808043875685561
1,pilot,14000,0.0979020979020979,4,0.25,2,0.1,0.2,1126,988.0,0.8774422735346359,0.12255772646536411
1,pilot,14000,0.0979020979020979,4,0.25,3,0.2,0.4,1277,1225.0,0.9592795614722005,0.040720438527799496
1,pilot,14000,0.0979020979020979,4,0.25,4,0.4,1.01,1434,1432.0,0.99860529986053,0.001394700139469962
1,pilot,14000,0.0979020979020979,4,0.5,0,0.0,0.05,224,119.0,0.53125,0.46875
1,pilot,14000,0.0979020979020979,4,0.5,1,0.05,0.1,547,387.0,0.7074954296160878,0.2925045703839122
1,pilot,14000,0.0979020979020979,4,0.5,2,0.1,0.2,1126,867.0,0.7699822380106572,0.23001776198934276
1,pilot,14000,0.0979020979020979,4,0.5,3,0.2,0.4,1277,1153.0,0.9028974158183242,0.09710258418167583
1,pilot,14000,0.0979020979020979,4,0.5,4,0.4,1.01,1434,1417.0,0.9881450488145049,0.011854951185495066
1,pilot,14000,0.0979020979020979,4,0.75,0,0.0,0.05,224,94.0,0.41964285714285715,0.5803571428571428
1,pilot,14000,0.0979020979020979,4,0.75,1,0.05,0.1,547,308.0,0.5630712979890311,0.4369287020109689
1,pilot,14000,0.0979020979020979,4,0.75,2,0.1,0.2,1126,765.0,0.6793960923623446,0.32060390763765545
1,pilot,14000,0.0979020979020979,4,0.75,3,0.2,0.4,1277,1048.0,0.8206734534064213,0.17932654659357872
1,pilot,14000,0.0979020979020979,4,0.75,4,0.4,1.01,1434,1384.0,0.9651324965132496,0.034867503486750384
