target_id,run_id,step,layer,selected_beta,target_kl,target_nll_damage,alpha_min,alpha_max,block_alpha,noise_alpha,block_alpha_multiplier,noise_alpha_multiplier,objective,block_kl,block_nll_damage,block_output_logit_norm,block_output_abs_cosine,block_hidden_relative_norm,noise_kl,noise_nll_damage,noise_output_logit_norm,noise_output_abs_cosine,noise_hidden_relative_norm,no_bracket,numerical_issue,pathological,boundary_selected,coordinate_converged,block_evaluations,noise_evaluations,relative_kl_difference,relative_nll_difference,hidden_norm_ratio,output_norm_ratio,absolute_cosine_difference,pass_kl,pass_nll,pass_hidden_norm,pass_output_norm,pass_abs_cosine,block_target_kl_log_error,noise_target_kl_log_error,block_target_nll_log_error,noise_target_nll_log_error,mean_target_log_error,calibration_class,damage_regime
r2_s143000_l3,2,143000,3,0.48739423558,1.250755018658108,1.227257172266642,0.0609242794475,0.97478847116,0.6077376045994404,0.5034903712456736,1.2469117610228433,1.0330248790212284,0.2937338117637887,1.225662350654602,1.270359992980957,834.0322265625,0.0016010194085538,0.60773766040802,1.248441497484843,1.2568380037943525,700.7030029296875,0.0021972917796423,0.5034903883934021,False,False,False,False,True,24,19,0.018246066696863794,0.010644218380078677,1.20704917991991,1.1902792239727154,0.0005962723710885001,True,True,True,True,True,0.020265991611046082,0.0018514124993090943,0.03451858122741109,0.02381730792364621,0.02011332331535312,PASS-A,high
r2_s143000_l4,2,143000,4,0.28795731005,0.3945920136239793,0.4097302754720051,0.03599466375625,0.5759146201,0.2799807430828324,0.3031587990398723,0.9722994808995036,1.0527907730046262,0.6401984789313228,0.5123011469841003,0.4094138145446777,467.295654296875,0.0022278330288827,0.2799826562404632,0.4341398477554321,0.4104109605153403,404.3791605631511,0.0019992747499297,0.3031592965126037,False,False,False,False,True,28,27,0.1525690498426584,0.0024296280231174945,1.0827788427442893,1.1555878736335083,0.00022855827895299982,False,True,True,True,True,0.26106027561925166,0.09551435783187301,0.0007726624581154846,0.001659921900668893,0.08975180445247725,FAIL-TRADEOFF,low
r2_s143000_l6,2,143000,6,0.324685111242,0.3667832811673482,0.3975701067182752,0.04058563890525,0.649370222484,0.3092403830194397,0.3367727961290281,0.952431670908837,1.0372289472738363,0.2589780735456428,0.3668763339519501,0.4009690284729004,492.6761169433594,0.0016971949953585,0.309238851070404,0.3805797398090362,0.3840446472167969,440.9354349772136,0.0018480701061586,0.3367726504802704,False,False,False,False,True,20,24,0.036006661479042724,0.04220869956106187,1.0890373228152654,1.1173429891585362,0.00015087511080009997,True,True,True,True,True,0.0002536674588138708,0.03692456210225077,0.008512900949544858,0.03461247302298759,0.02007590088339927,PASS-A,low
r2_s143000_l9,2,143000,9,0.365704773739,0.3689571420351664,0.3673667377895779,0.045713096717375,0.731409547478,0.5047339776182435,0.3762509133619777,1.3801678672602378,1.028837850584101,0.378357400763634,0.3922045826911926,0.3673229217529297,383.6069641113281,0.0020768078975379,0.5047366619110107,0.3639168242613474,0.3679108619689941,446.9855550130208,0.0016571033435563,0.3762512803077698,False,False,False,False,True,25,21,0.07212500740236874,0.0015980507151048633,1.3414882242999937,1.1652175190523892,0.00041970455398159987,True,True,False,True,True,0.06110310722235132,0.013755154299839744,0.00011927767358926068,0.0014800512865413918,0.01911439762058043,PASS-B,low
r2_s143000_l10,2,143000,10,0.73488173621,1.022492839230431,1.0224942366282146,0.09186021702625,1.46976347242,0.7388720713672251,0.7388720713672251,1.0054299011128027,1.0054299011128027,0.272733769860753,1.0075714588165283,1.0387983322143557,790.7559814453125,0.0013948536943644,0.7388721704483032,1.024473786354065,1.0239033699035645,1194.1970621744792,0.0010545084951445,0.7388713955879211,False,False,False,False,True,29,19,0.016498545655998918,0.014338646731402017,1.0000010487080522,1.5101966854449491,0.00034034519921989984,True,True,True,False,True,0.014700666524124483,0.0019354958867271782,0.015819622943122464,0.0013771844665669728,0.008458242455135276,FAIL-TRADEOFF,high
r3_s14000_l1,3,14000,1,0.649370222483,0.6331983407338461,0.718385034137302,0.081171277810375,1.298740444966,0.562561171500962,0.6528962385766816,0.8663180910111555,1.005429901112803,0.3211662459321779,0.6885448694229126,0.7179417610168457,271.27606201171875,0.0032631319481879,0.5625606775283813,0.6292654871940613,0.7303048769632978,254.33043416341147,0.0033137629119058,0.652896781762441,False,False,False,False,True,28,21,0.08609370988202253,0.016928705170174346,1.160580196665704,1.0666283919344839,5.0630963717900046e-05,True,True,True,True,True,0.08379677831010138,0.006230461697380024,0.000617231588277562,0.01645640207423931,0.026775218417499566,PASS-A,mid
r3_s14000_l2,3,14000,2,0.592865727479,0.5016940666569604,0.5203430122799345,0.074108215934875,1.185731454958,0.4596443157633268,0.5993216119757684,0.7752924388425,1.0108892860517005,0.5119769048888666,0.4986776411533355,0.5315375328063965,238.23928833007807,0.0032905167900025,0.4596439599990845,0.4965833723545074,0.615310986836751,227.36456807454428,0.0032532785553485,0.5993214050928751,False,False,False,False,True,27,28,0.0041996444716962365,0.1361481524343081,1.3038818243010633,1.0478294412697071,3.723823465399999e-05,True,True,False,True,True,0.0060306276596333004,0.010239115405931148,0.021285578936683102,0.16763957654278672,0.051298724636258564,PASS-B,mid
r3_s14000_l3,3,14000,3,0.723505480648,1.1653783188925848,1.2564765877193873,0.090438185081,1.447010961296,0.5897412344933216,0.6984818827307693,0.8151164714953176,0.9654133954938136,0.2086207538449818,1.1651042699813845,1.2702836990356443,304.6686706542969,0.0034813224337995,0.5897417664527893,1.1431924899419148,1.274186611175537,340.6220703125,0.0031214841486265,0.6984816392262777,False,False,False,False,True,24,20,0.018806711642915697,0.003063061647062872,1.1843855717178697,1.118008194216329,0.00035983828517300014,True,True,True,True,True,0.00023518640625928903,0.01922099326687335,0.010928815696530087,0.013996578118549754,0.01109539337205312,PASS-A,high
r3_s14000_l4,3,14000,4,0.46204268995,0.4211405383216011,0.4601081477271185,0.05775533624375,0.9240853799,0.3786636089061101,0.4448560749906716,0.8195424733309542,0.9628029718180624,0.2969537004036616,0.4335686564445495,0.4599666595458984,212.399169921875,0.0031881455797702,0.3786627650260925,0.3987279335657755,0.4606852531433105,231.73748779296875,0.0027545342842737,0.4448565443356831,False,False,False,False,True,25,21,0.08035802948599417,0.0015598363362166673,1.1748093169521292,1.091047050128335,0.0004336112954965001,True,True,True,True,True,0.029083562496860088,0.0546872846703386,0.0003075579968433181,0.0012534961506268797,0.02133297532866722,PASS-A,mid
r3_s14000_l5,3,14000,5,0.390096630006,0.2574349194765091,0.303992615805732,0.04876207875075,0.780193260012,0.3179741885927052,0.383810461403023,0.8151164714953177,0.9838856116165878,0.5596310461196716,0.2573088705539703,0.3220748901367187,174.23544311523438,0.0030794977210462,0.3179745078086853,0.2580307175715764,0.2629199028015136,193.48311360677084,0.0027437566313892,0.3838104208310445,False,False,False,False,True,27,28,0.002797523583237332,0.18366842354613291,1.207047770828734,1.1104693175360796,0.0003357410896569998,True,False,True,True,True,0.0004897540388038249,0.0023116899268147088,0.05778068556817853,0.14515397729162793,0.051434026706356245,FAIL-TRADEOFF,low
