target_id,run_id,step,layer,family,target_metric,target_value,alpha_min,alpha_max,bracketed,root_alpha,iterations
r3_s72000_l3,3,72000,3,noise,kl,1.7865699529647827,0.084266080933625,1.348257294938,True,0.6578997135871474,10
r3_s72000_l3,3,72000,3,noise,nll_damage,1.7594680786132812,0.084266080933625,1.348257294938,True,0.6490530651708442,9
r3_s72000_l4,3,72000,4,block,kl,0.420711682902442,0.04058563890525,0.649370222484,True,0.3277766547406964,11
r3_s72000_l4,3,72000,4,block,nll_damage,0.4373422463734943,0.04058563890525,0.649370222484,True,0.3383723168280826,12
r3_s72000_l4,3,72000,4,noise,kl,0.420711682902442,0.04058563890525,0.649370222484,True,0.3264481192888434,9
r3_s72000_l4,3,72000,4,noise,nll_damage,0.4373422463734943,0.04058563890525,0.649370222484,True,0.3390601492145489,6
r3_s72000_l5,3,72000,5,block,kl,0.2777864734331767,0.033647946646,0.538367146336,True,0.2522475702328137,7
r3_s72000_l5,3,72000,5,block,nll_damage,0.2731298870510523,0.033647946646,0.538367146336,True,0.2468424249593364,5
r3_s72000_l5,3,72000,5,noise,kl,0.2777864734331767,0.033647946646,0.538367146336,True,0.2795832387801008,9
r3_s72000_l5,3,72000,5,noise,nll_damage,0.2731298870510523,0.033647946646,0.538367146336,True,0.2833939820756861,10
r3_s72000_l6,3,72000,6,block,kl,0.3916894363032446,0.043680442028375,0.698887072454,True,0.37594669302231,10
r3_s72000_l6,3,72000,6,block,nll_damage,0.4318052397833927,0.043680442028375,0.698887072454,True,0.4386846910460363,8
r3_s72000_l6,3,72000,6,noise,kl,0.3916894363032446,0.043680442028375,0.698887072454,True,0.3551668325069227,9
r3_s72000_l6,3,72000,6,noise,nll_damage,0.4318052397833927,0.043680442028375,0.698887072454,True,0.3836591030267843,11
r3_s72000_l8,3,72000,8,block,kl,0.3690718511740367,0.04893326945675,0.782932311308,True,0.3683295025434444,11
r3_s72000_l8,3,72000,8,block,nll_damage,0.4042413499620223,0.04893326945675,0.782932311308,True,0.3774153784300911,11
r3_s72000_l8,3,72000,8,noise,kl,0.3690718511740367,0.04893326945675,0.782932311308,True,0.3718366134011318,10
r3_s72000_l8,3,72000,8,noise,nll_damage,0.4042413499620223,0.04893326945675,0.782932311308,True,0.396801872611197,10
r3_s72000_l9,3,72000,9,block,kl,0.319050669670105,0.04610129921925,0.737620787508,True,0.3291663396389835,9
r3_s72000_l9,3,72000,9,block,nll_damage,0.3441070450676811,0.04610129921925,0.737620787508,True,0.3522190802101839,10
r3_s72000_l9,3,72000,9,noise,kl,0.319050669670105,0.04610129921925,0.737620787508,True,0.3658267480677672,10
r3_s72000_l9,3,72000,9,noise,nll_damage,0.3441070450676811,0.04610129921925,0.737620787508,True,0.3861832427130608,10
r3_s72000_l10,3,72000,10,block,kl,0.4807328250673082,0.061506583200375,0.984105331206,True,0.4487774665624985,9
r3_s72000_l10,3,72000,10,block,nll_damage,0.5195619265238443,0.061506583200375,0.984105331206,True,0.4536643327694549,9
r3_s72000_l10,3,72000,10,noise,kl,0.4807328250673082,0.061506583200375,0.984105331206,True,0.4686465424754125,9
r3_s72000_l10,3,72000,10,noise,nll_damage,0.5195619265238443,0.061506583200375,0.984105331206,True,0.505557518026892,9
r3_s143000_l1,3,143000,1,block,kl,0.8428021934297351,0.086612798043875,1.385804768702,True,0.550453566616108,10
r3_s143000_l1,3,143000,1,block,nll_damage,0.8603199587927923,0.086612798043875,1.385804768702,True,0.532135165614358,11
r3_s143000_l1,3,143000,1,noise,kl,0.8428021934297351,0.086612798043875,1.385804768702,True,0.709034214112059,11
r3_s143000_l1,3,143000,1,noise,nll_damage,0.8603199587927923,0.086612798043875,1.385804768702,True,0.7080749708639258,7
r3_s143000_l2,3,143000,2,block,kl,0.9341029723485312,0.094309393208,1.508950291328,True,0.5571143107890537,6
r3_s143000_l2,3,143000,2,block,nll_damage,0.9460280471377904,0.094309393208,1.508950291328,True,0.5554198908330312,13
r3_s143000_l2,3,143000,2,noise,kl,0.9341029723485312,0.094309393208,1.508950291328,True,0.7524350871852178,10
