target_id,run_id,step,layer,match_class,selected_beta,target_kl,target_nll_damage
r6_s72000_l4,6,72000,4,A,0.729123600034,1.7777680026160347,1.7505127059088814
r6_s72000_l5,6,72000,5,A,0.285218258752,0.325030956003401,0.3253116342756481
r6_s72000_l6,6,72000,6,A,0.22985673747,0.2237263073523839,0.2139054139455158
r6_s72000_l9,6,72000,9,A,0.391422888087,0.3710829549365573,0.3837833934360081
r6_s143000_l1,6,143000,1,A,0.664078649987,0.7476856973436145,0.7725881205664741
r6_s143000_l2,6,143000,2,A,0.664078649987,0.6894046068191528,0.700036923090617
r6_s143000_l3,6,143000,3,A,0.726977669381,0.8249830868509079,0.8161831167009143
r6_s143000_l4,6,143000,4,A,0.75,1.9717504978179927,1.937442382176717
r6_s143000_l5,6,143000,5,A,0.416817701285,0.701086355580224,0.7230224344465467
r6_s143000_l8,6,143000,8,A,0.38447851062,0.4219082163439856,0.4686655733320448
r6_s143000_l9,6,143000,9,A,0.437510816892,0.420853704214096,0.4493070708380806
r8_s14000_l1,8,14000,1,A,0.519550141886,0.4072243273258209,0.3917307323879663
r8_s14000_l2,8,14000,2,A,0.571806043153,0.5077182418770261,0.5116835700141059
r8_s14000_l4,8,14000,4,A,0.725651411301,1.222296569082472,1.2176927460564504
r8_s14000_l6,8,14000,6,A,0.305544805642,0.186862803167767,0.2131069236331518
r8_s14000_l9,8,14000,9,A,0.357207586265,0.2055832776758406,0.1886838012271456
r8_s72000_l1,8,72000,1,A,0.634845079338,0.741052296426561,0.7441590627034506
r8_s72000_l2,8,72000,2,A,0.625388202502,0.6622003846698337,0.6189210679796009
r8_s72000_l4,8,72000,4,A,0.64219929309,1.43933990266588,1.4285152753194172
r8_s72000_l5,8,72000,5,A,0.300293254974,0.297220915555954,0.319316969977485
r8_s72000_l7,8,72000,7,A,0.358167275628,0.3421697583463457,0.3360793325636123
r8_s72000_l9,8,72000,9,A,0.35661446562,0.3047810594240824,0.299455377790663
r8_s143000_l1,8,143000,1,A,0.62324227185,0.6980229881074694,0.6730988290574818
r8_s143000_l2,8,143000,2,A,0.688243954328,0.7849934034877353,0.7439439031812881
r8_s143000_l4,8,143000,4,A,0.649003653765,1.8047940333684285,1.764314068688287
r8_s143000_l5,8,143000,5,A,0.322765732516,0.4476235144668155,0.4831451045142279
r8_s143000_l6,8,143000,6,A,0.326237921249,0.4478689365916782,0.4873672591315377
