run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,5,0.75,2,0.1,0.2,882,603.0,0.6836734693877551,0.3163265306122449
1,pilot,14000,0.0979020979020979,5,0.75,3,0.2,0.4,1372,1133.0,0.825801749271137,0.17419825072886297
1,pilot,14000,0.0979020979020979,5,0.75,4,0.4,1.01,1847,1761.0,0.9534380075798592,0.04656199242014081
1,pilot,14000,0.0979020979020979,5,1.0,0,0.0,0.05,110,40.0,0.36363636363636365,0.6363636363636364
1,pilot,14000,0.0979020979020979,5,1.0,1,0.05,0.1,397,186.0,0.46851385390428213,0.5314861460957179
1,pilot,14000,0.0979020979020979,5,1.0,2,0.1,0.2,882,527.0,0.5975056689342404,0.4024943310657596
1,pilot,14000,0.0979020979020979,5,1.0,3,0.2,0.4,1372,1012.0,0.7376093294460642,0.26239067055393583
1,pilot,14000,0.0979020979020979,5,1.0,4,0.4,1.01,1847,1674.0,0.9063345966432051,0.09366540335679485
1,pilot,14000,0.0979020979020979,6,0.25,0,0.0,0.05,110,80.0,0.7272727272727273,0.2727272727272727
1,pilot,14000,0.0979020979020979,6,0.25,1,0.05,0.1,397,320.0,0.8060453400503779,0.19395465994962213
1,pilot,14000,0.0979020979020979,6,0.25,2,0.1,0.2,882,783.0,0.8877551020408163,0.11224489795918369
1,pilot,14000,0.0979020979020979,6,0.25,3,0.2,0.4,1372,1299.0,0.9467930029154519,0.053206997084548124
1,pilot,14000,0.0979020979020979,6,0.25,4,0.4,1.01,1847,1839.0,0.9956686518678939,0.0043313481321061165
1,pilot,14000,0.0979020979020979,6,0.5,0,0.0,0.05,110,58.0,0.5272727272727272,0.4727272727272728
1,pilot,14000,0.0979020979020979,6,0.5,1,0.05,0.1,397,252.0,0.6347607052896725,0.36523929471032746
1,pilot,14000,0.0979020979020979,6,0.5,2,0.1,0.2,882,663.0,0.7517006802721088,0.2482993197278912
1,pilot,14000,0.0979020979020979,6,0.5,3,0.2,0.4,1372,1201.0,0.8753644314868805,0.12463556851311952
1,pilot,14000,0.0979020979020979,6,0.5,4,0.4,1.01,1847,1814.0,0.9821331889550623,0.017866811044937703
1,pilot,14000,0.0979020979020979,6,0.75,0,0.0,0.05,110,49.0,0.44545454545454544,0.5545454545454546
1,pilot,14000,0.0979020979020979,6,0.75,1,0.05,0.1,397,196.0,0.49370277078085645,0.5062972292191436
1,pilot,14000,0.0979020979020979,6,0.75,2,0.1,0.2,882,549.0,0.6224489795918368,0.37755102040816324
1,pilot,14000,0.0979020979020979,6,0.75,3,0.2,0.4,1372,1082.0,0.7886297376093294,0.21137026239067058
1,pilot,14000,0.0979020979020979,6,0.75,4,0.4,1.01,1847,1728.0,0.9355711965349215,0.06442880346507851
1,pilot,14000,0.0979020979020979,6,1.0,0,0.0,0.05,110,35.0,0.3181818181818182,0.6818181818181819
1,pilot,14000,0.0979020979020979,6,1.0,1,0.05,0.1,397,162.0,0.4080604534005038,0.5919395465994962
1,pilot,14000,0.0979020979020979,6,1.0,2,0.1,0.2,882,465.0,0.5272108843537415,0.4727891156462585
1,pilot,14000,0.0979020979020979,6,1.0,3,0.2,0.4,1372,959.0,0.6989795918367347,0.30102040816326525
1,pilot,14000,0.0979020979020979,6,1.0,4,0.4,1.01,1847,1631.0,0.8830536004331349,0.11694639956686514
1,pilot,14000,0.0979020979020979,7,0.25,0,0.0,0.05,110,92.0,0.8363636363636363,0.1636363636363637
1,pilot,14000,0.0979020979020979,7,0.25,1,0.05,0.1,397,341.0,0.8589420654911839,0.1410579345088161
1,pilot,14000,0.0979020979020979,7,0.25,2,0.1,0.2,882,775.0,0.8786848072562359,0.12131519274376412
1,pilot,14000,0.0979020979020979,7,0.25,3,0.2,0.4,1372,1324.0,0.9650145772594753,0.03498542274052474
1,pilot,14000,0.0979020979020979,7,0.25,4,0.4,1.01,1847,1840.0,0.9962100703844071,0.0037899296155928797
1,pilot,14000,0.0979020979020979,7,0.5,0,0.0,0.05,110,70.0,0.6363636363636364,0.36363636363636365
1,pilot,14000,0.0979020979020979,7,0.5,1,0.05,0.1,397,284.0,0.7153652392947103,0.2846347607052897
1,pilot,14000,0.0979020979020979,7,0.5,2,0.1,0.2,882,693.0,0.7857142857142857,0.2142857142857143
1,pilot,14000,0.0979020979020979,7,0.5,3,0.2,0.4,1372,1247.0,0.9088921282798834,0.09110787172011658
1,pilot,14000,0.0979020979020979,7,0.5,4,0.4,1.01,1847,1822.0,0.9864645370871684,0.013535462912831586
1,pilot,14000,0.0979020979020979,7,0.75,0,0.0,0.05,110,57.0,0.5181818181818182,0.4818181818181818
1,pilot,14000,0.0979020979020979,7,0.75,1,0.05,0.1,397,227.0,0.5717884130982368,0.4282115869017632
1,pilot,14000,0.0979020979020979,7,0.75,2,0.1,0.2,882,598.0,0.6780045351473923,0.32199546485260766
