run_id,stage,step,progress,layer,alpha,top1_agreement,top1_damage,nll_damage,kl,activation_relative_magnitude,activation_absolute_rms,intact_update_rms,layer_parameter_l2,alpha_layer_parameter_l2_proxy,alpha_layer_parameter_l2_relative_model,baseline_nll,baseline_confidence
1,pilot,14000,0.0979020979020979,8,1.0,0.755859375,0.244140625,0.17758366796705452,0.17197346521748436,0.3437552750110626,0.7079623407787747,0.7079623407787747,120.93118367100402,120.93118367100402,0.20950928140175865,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,9,0.25,0.9314236111111112,0.06857638888888888,0.012411117553710938,0.013262697702480687,0.0941823638147778,0.23374491930007935,0.9349796772003174,123.69027806256493,30.922569515641232,0.05357233032584056,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,9,0.5,0.868923611111111,0.13107638888888892,0.05700643857320135,0.05833437252375814,0.1883647276295556,0.4674898386001587,0.9349796772003174,123.69027806256493,61.845139031282464,0.10714466065168111,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,9,0.75,0.795138888888889,0.20486111111111108,0.1436098681555853,0.14467495679855347,0.28254708647727966,0.7012346982955933,0.9349796772003174,123.69027806256493,92.7677085469237,0.16071699097752168,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,9,1.0,0.718967013888889,0.2810329861111111,0.28734151522318524,0.2859085847934087,0.3767294552591112,0.9349796772003174,0.9349796772003174,123.69027806256493,123.69027806256493,0.21428932130336223,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,10,0.25,0.9292534722222222,0.07074652777777779,0.015083630879720053,0.014298139243490167,0.09402140892214245,0.28592852751413983,1.1437141100565593,132.49617644362272,33.12404411090568,0.05738631234831762,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,10,0.5,0.8537326388888888,0.14626736111111113,0.06243178579542367,0.06056618566314379,0.1880428178442849,0.5718570550282797,1.1437141100565593,132.49617644362272,66.24808822181136,0.11477262469663524,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,10,0.75,0.783203125,0.216796875,0.14863093694051108,0.14539105693499246,0.2820640239450667,0.8577848540412055,1.1437141100565593,132.49617644362272,99.37213233271704,0.17215893704495286,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,10,1.0,0.6996527777777778,0.3003472222222222,0.2844424512651231,0.2794322636392381,0.3760856356885698,1.1437141100565593,1.1437141100565593,132.49617644362272,132.49617644362272,0.22954524939327048,3.1252391603257923,0.4032067325380113
1,pilot,72000,0.5034965034965035,1,0.25,0.9420572916666666,0.057942708333333336,0.01278869311014826,0.01191583824240499,0.11683624734481175,0.09251780228482354,0.37007120913929414,106.89030021770925,26.722575054427313,0.02276806749114066,3.011972506841024,0.41848991976843936
1,pilot,72000,0.5034965034965035,1,0.5,0.8723958333333334,0.12760416666666666,0.061682197782728355,0.05966956582334306,0.2336724946896235,0.18503560456964707,0.37007120913929414,106.89030021770925,53.44515010885463,0.04553613498228132,3.011972506841024,0.41848991976843936
1,pilot,72000,0.5034965034965035,1,0.75,0.7651909722222222,0.2348090277777778,0.2314513789282905,0.22547233932548097,0.35050880246692234,0.2775533960925208,0.37007120913929414,106.89030021770925,80.16772516328194,0.06830420247342198,3.011972506841024,0.41848991976843936
1,pilot,72000,0.5034965034965035,1,1.0,0.6325954861111112,0.36740451388888884,0.5584832032521566,0.5507959458563062,0.467344989379247,0.37007120913929414,0.37007120913929414,106.89030021770925,106.89030021770925,0.09107226996456264,3.011972506841024,0.41848991976843936
