run_id,stage,step,bin_index,bin_low,bin_high,contrast,high_count,low_count
1,pilot,143000,3,0.2,0.4,0.22839506172839508,1296,1296
1,pilot,143000,4,0.4,1.01,0.134839151266256,1461,1461
1,pilot,143000,0,0.0,0.05,0.16736401673640167,239,239
1,pilot,143000,1,0.05,0.1,0.11454545454545462,550,550
1,pilot,143000,2,0.1,0.2,0.09416195856873832,1062,1062
1,pilot,143000,3,0.2,0.4,0.06712962962962965,1296,1296
1,pilot,143000,4,0.4,1.01,0.004106776180698102,1461,1461
4,pilot,14000,0,0.0,0.05,-0.003968253968254065,252,252
4,pilot,14000,1,0.05,0.1,0.06272401433691754,558,558
4,pilot,14000,2,0.1,0.2,0.03639672429481344,1099,1099
4,pilot,14000,3,0.2,0.4,0.04642593957258656,1357,1357
4,pilot,14000,4,0.4,1.01,0.016393442622950838,1342,1342
4,pilot,14000,0,0.0,0.05,-0.011904761904761862,252,252
4,pilot,14000,1,0.05,0.1,-0.0035842293906809264,558,558
4,pilot,14000,2,0.1,0.2,0.0145586897179254,1099,1099
4,pilot,14000,3,0.2,0.4,-0.028739867354458326,1357,1357
4,pilot,14000,4,0.4,1.01,-0.0007451564828613311,1342,1342
4,pilot,14000,0,0.0,0.05,0.09523809523809523,252,252
4,pilot,14000,1,0.05,0.1,0.09856630824372759,558,558
4,pilot,14000,2,0.1,0.2,0.0436760691537762,1099,1099
4,pilot,14000,3,0.2,0.4,0.048636698599852646,1357,1357
4,pilot,14000,4,0.4,1.01,0.014157973174366623,1342,1342
4,pilot,14000,0,0.0,0.05,0.08730158730158732,252,252
4,pilot,14000,1,0.05,0.1,0.07168458781362008,558,558
4,pilot,14000,2,0.1,0.2,0.0573248407643312,1099,1099
4,pilot,14000,3,0.2,0.4,0.03463522476050107,1357,1357
4,pilot,14000,4,0.4,1.01,0.020119225037257826,1342,1342
4,pilot,14000,0,0.0,0.05,0.039682539682539764,252,252
4,pilot,14000,1,0.05,0.1,0.008960573476702538,558,558
4,pilot,14000,2,0.1,0.2,0.0,1099,1099
4,pilot,14000,3,0.2,0.4,0.04642593957258656,1357,1357
4,pilot,14000,4,0.4,1.01,0.0216095380029806,1342,1342
4,pilot,14000,0,0.0,0.05,0.0714285714285714,252,252
4,pilot,14000,1,0.05,0.1,0.028673835125448077,558,558
4,pilot,14000,2,0.1,0.2,0.07370336669699729,1099,1099
4,pilot,14000,3,0.2,0.4,0.00368459837877666,1357,1357
4,pilot,14000,4,0.4,1.01,-0.03576751117734722,1342,1342
4,pilot,14000,0,0.0,0.05,0.02777777777777779,252,252
4,pilot,14000,1,0.05,0.1,0.048387096774193616,558,558
4,pilot,14000,2,0.1,0.2,0.048225659690627865,1099,1099
4,pilot,14000,3,0.2,0.4,0.013264554163596176,1357,1357
4,pilot,14000,4,0.4,1.01,0.00894187779433675,1342,1342
4,pilot,14000,0,0.0,0.05,0.0357142857142857,252,252
4,pilot,14000,1,0.05,0.1,0.0,558,558
4,pilot,14000,2,0.1,0.2,0.05004549590536844,1099,1099
4,pilot,14000,3,0.2,0.4,0.004421518054532059,1357,1357
4,pilot,14000,4,0.4,1.01,0.011922503725782407,1342,1342
4,pilot,72000,0,0.0,0.05,0.0657894736842104,228,228
4,pilot,72000,1,0.05,0.1,0.07076350093109873,537,537
4,pilot,72000,2,0.1,0.2,0.04166666666666663,1104,1104
4,pilot,72000,3,0.2,0.4,0.0488372093023256,1290,1290
4,pilot,72000,4,0.4,1.01,0.0165631469979296,1449,1449
4,pilot,72000,0,0.0,0.05,0.052631578947368474,228,228
4,pilot,72000,1,0.05,0.1,0.05586592178770944,537,537
4,pilot,72000,2,0.1,0.2,0.04528985507246375,1104,1104
4,pilot,72000,3,0.2,0.4,0.027906976744186074,1290,1290
4,pilot,72000,4,0.4,1.01,0.10489993098688755,1449,1449
4,pilot,72000,0,0.0,0.05,-0.03508771929824561,228,228
4,pilot,72000,1,0.05,0.1,0.035381750465549255,537,537
4,pilot,72000,2,0.1,0.2,0.0063405797101449,1104,1104
4,pilot,72000,3,0.2,0.4,-0.015503875968992276,1290,1290
4,pilot,72000,4,0.4,1.01,0.07384403036576948,1449,1449
4,pilot,72000,0,0.0,0.05,0.13596491228070173,228,228
4,pilot,72000,1,0.05,0.1,0.07262569832402233,537,537
4,pilot,72000,2,0.1,0.2,0.07427536231884058,1104,1104
4,pilot,72000,3,0.2,0.4,0.058139534883721034,1290,1290
4,pilot,72000,4,0.4,1.01,0.006211180124223614,1449,1449
4,pilot,72000,0,0.0,0.05,0.11842105263157887,228,228
4,pilot,72000,1,0.05,0.1,0.06517690875232773,537,537
4,pilot,72000,2,0.1,0.2,0.05163043478260865,1104,1104
4,pilot,72000,3,0.2,0.4,0.055038759689922556,1290,1290
4,pilot,72000,4,0.4,1.01,0.019323671497584516,1449,1449
4,pilot,72000,0,0.0,0.05,0.13157894736842113,228,228
4,pilot,72000,1,0.05,0.1,0.048417132216014847,537,537
4,pilot,72000,2,0.1,0.2,0.15489130434782605,1104,1104
4,pilot,72000,3,0.2,0.4,0.11627906976744196,1290,1290
4,pilot,72000,4,0.4,1.01,0.10697032436162879,1449,1449
4,pilot,72000,0,0.0,0.05,0.013157894736842035,228,228
4,pilot,72000,1,0.05,0.1,0.033519553072625774,537,537
4,pilot,72000,2,0.1,0.2,0.024456521739130488,1104,1104
4,pilot,72000,3,0.2,0.4,0.010852713178294615,1290,1290
4,pilot,72000,4,0.4,1.01,0.013112491373361013,1449,1449
4,pilot,72000,0,0.0,0.05,0.03508771929824561,228,228
4,pilot,72000,1,0.05,0.1,0.07076350093109873,537,537
4,pilot,72000,2,0.1,0.2,0.030797101449275388,1104,1104
4,pilot,72000,3,0.2,0.4,0.04031007751937976,1290,1290
4,pilot,72000,4,0.4,1.01,-0.023464458247067,1449,1449
4,pilot,72000,0,0.0,0.05,0.13596491228070173,228,228
4,pilot,72000,1,0.05,0.1,0.03165735567970196,537,537
4,pilot,72000,2,0.1,0.2,0.03804347826086962,1104,1104
4,pilot,72000,3,0.2,0.4,0.01782945736434105,1290,1290
4,pilot,72000,4,0.4,1.01,0.012422360248447228,1449,1449
4,pilot,72000,0,0.0,0.05,-0.03508771929824561,228,228
4,pilot,72000,1,0.05,0.1,0.03351955307262566,537,537
4,pilot,72000,2,0.1,0.2,0.055253623188405765,1104,1104
4,pilot,72000,3,0.2,0.4,0.029457364341085257,1290,1290
4,pilot,72000,4,0.4,1.01,0.024154589371980673,1449,1449
4,pilot,143000,0,0.0,0.05,-0.007518796992481147,266,266
4,pilot,143000,1,0.05,0.1,-0.0035906642728904536,557,557
4,pilot,143000,2,0.1,0.2,-0.010054844606947055,1094,1094
4,pilot,143000,3,0.2,0.4,-0.011075949367088556,1264,1264
4,pilot,143000,4,0.4,1.01,0.15206727400140152,1427,1427
4,pilot,143000,0,0.0,0.05,0.015037593984962516,266,266
4,pilot,143000,1,0.05,0.1,0.044883303411131115,557,557
4,pilot,143000,2,0.1,0.2,0.05758683729433278,1094,1094
4,pilot,143000,3,0.2,0.4,0.06170886075949367,1264,1264
4,pilot,143000,4,0.4,1.01,-0.005606166783461819,1427,1427
4,pilot,143000,0,0.0,0.05,0.10526315789473684,266,266
4,pilot,143000,1,0.05,0.1,0.09156193895870746,557,557
4,pilot,143000,2,0.1,0.2,0.1234003656307131,1094,1094
4,pilot,143000,3,0.2,0.4,0.1344936708860759,1264,1264
4,pilot,143000,4,0.4,1.01,0.1906096706377015,1427,1427
