run_id,step,high_layer,high_beta,low_layer,low_beta,magnitude_ratio,directional_ds_contrast,absolute_kl_gap,absolute_nll_gap,relative_kl_gap,relative_nll_gap,kl_caliper,nll_caliper
3,143000,10,0.5,5,0.35,1.4285714704703736,0.039134837962962965,0.01784842544131815,0.02134569485982274,0.040247272043660624,0.04788208134291325,0.04434691976617884,0.04457971387439304
3,143000,9,0.5,3,0.35,1.4285716204956622,0.026620370370370405,0.02934895290268802,0.024908427838925884,0.05350214927809629,0.044582719888882454,0.054855652153491974,0.05587013959884644
3,143000,10,0.75,4,0.5,1.500000260494385,0.016565393518518545,0.03970695204204988,0.0671147063926415,0.04143702015184189,0.06810118737752356,0.0958248249910496,0.09855144818623861
5,14000,1,0.5,4,0.35,1.428570341902594,0.027994791666666685,0.017404982337245245,0.01667312339500132,0.05388471336800911,0.05451836787897872,0.03230040812933887,0.03058257985998083
5,72000,2,0.75,4,0.5,1.4999997439208423,0.0248842592592593,0.0018244120809767228,0.0002735632437242952,0.001740567121648545,0.0002568449596268172,0.10481710577452624,0.10650909565113209
5,72000,1,0.5,7,0.35,1.4285712898092766,0.039858217592592615,0.018861957170345167,0.03146633395442261,0.05244658575927387,0.08693955371958384,0.03596412787834803,0.036193346535717985
5,72000,10,0.5,4,0.35,1.4285713754093092,0.03284143518518523,0.0404448354685748,0.040398094389173744,0.07517964094810807,0.07558366524617255,0.053797590622195496,0.05344818124064692
5,143000,10,0.5,6,0.35,1.4285713402682492,0.022207754629629595,0.00019967224862849076,0.00755025722362368,0.00039915520896277097,0.015400712605201252,0.050023711114018043,0.04902537575474492
5,143000,9,0.75,5,0.5,1.4999995077098618,0.021122685185185064,0.02794468402862549,0.005187741032353088,0.02777203836782748,0.0051020090474087195,0.10062165282390736,0.10168035736790411
5,143000,2,0.75,4,0.5,1.49999997350905,0.011935763888888895,0.030849130065352837,0.04056407787181704,0.029242206736030948,0.038495900417289855,0.10549521909819709,0.1053724615662186
5,143000,8,0.5,4,0.35,1.42857134387247,0.031756365740740755,0.020606873212037136,0.02284526824951194,0.03655940304000605,0.04154956156816872,0.056365453203519184,0.054983175242388695
5,143000,10,0.75,6,0.5,1.500000059604647,0.040870949074074125,0.04976480757748625,0.027505574402985622,0.05087988242309996,0.02809167745379057,0.0978084170156055,0.09791360607853644
5,143000,9,0.5,5,0.35,1.428571744390494,0.00267650462962965,0.015005124939812431,0.03494950577064804,0.029101235167169788,0.0683229159085152,0.05156181465696406,0.05115341654530277
6,14000,3,0.5,5,0.35,1.4285709645293592,0.03595196759259256,0.019002611438433348,0.025180666534989127,0.0654198147687106,0.07688462008973046,0.029047180132733455,0.032751240112163404
6,72000,3,0.5,8,0.35,1.4285708969504538,0.020688657407407385,0.00131024585829842,0.0021116468641492747,0.004168639082306944,0.006451476619407098,0.03143102178970973,0.032731217808193616
6,72000,2,0.5,7,0.35,1.4285713866724759,0.032913773148148195,0.005004955662621435,0.007511748207939983,0.013911218520881603,0.020718474099938315,0.03597783799524661,0.03625628109331483
6,72000,3,0.75,5,0.5,1.4999993752552483,0.045500578703703776,0.05829999623475246,0.058825016021728294,0.06299263748380676,0.06138210903045617,0.09255049250744007,0.0958341395413434
6,72000,1,0.5,4,0.35,1.4285711979019164,0.017433449074074125,0.03187091483010185,0.036264084003589825,0.07850446445478179,0.08756804628265812,0.040597582636056125,0.04141246212853325
6,143000,3,0.75,4,0.5,1.499999945914298,0.0434751157407407,0.009631512341675919,0.006752243748417541,0.011070838269197218,0.007515991038432389,0.08699894359818211,0.08983836880436652
6,143000,3,0.5,9,0.35,1.4285709830007962,0.036603009259259245,0.0014271625766047458,0.0061953685901783295,0.004634307385089092,0.020353796479838832,0.030795595932889875,0.03043839313365795
6,143000,1,0.75,5,0.5,1.500000058500861,0.03493923611111105,0.03395518550166399,0.004212308813024368,0.03392657672554023,0.004051692794286302,0.10008432556081702,0.10396417070318152
6,143000,2,0.75,6,0.5,1.5000001346623308,0.02372685185185186,0.020854819703985172,0.020970892023157384,0.02195913777660783,0.021533960140507007,0.09497103172319908,0.09738520869502316
