run_id,step,beta,high_layer,low_layer,kl_gap,nll_gap,magnitude_ratio,directional_ds_contrast
3,143000,0.5,6,9,0.1650030281808641,0.18670108583238398,1.000000174398765,0.027054398148148195
3,143000,0.5,7,8,0.04217522894894632,0.061405164224130226,1.0000000905107713,0.00571469907407407
3,143000,0.75,3,2,1.142083779529289,1.2060681978861494,1.0000001913235494,0.17375578703703703
3,143000,0.75,4,10,1.0064305751412004,1.0961143882186328,1.0000001177375686,0.15140335648148134
3,143000,0.75,5,1,0.5644127925237021,0.5977310427912959,1.0000001118507025,0.0815248842592593
3,143000,0.75,6,9,0.31828462194513407,0.36394115730568233,1.0000000264909477,0.03660300925925919
3,143000,0.75,7,8,0.08704167383688488,0.10571912482932744,1.0000000353212641,0.008101851851851749
5,14000,0.35,4,1,0.18034974568419987,0.17688729144908782,1.0000009177224078,0.08145254629629628
5,14000,0.35,5,2,0.15994503045523606,0.1692772088227449,1.0000003027537565,0.07899305555555552
5,14000,0.35,6,3,0.10141652436168103,0.10019759778623222,1.000000242833621,0.039785879629629595
5,14000,0.35,7,10,0.04388842317793104,0.03654320151717588,1.0000001702990131,0.010416666666666685
5,14000,0.5,4,2,0.2981092455210509,0.29824383170516394,1.0000001699836132,0.08897569444444442
5,14000,0.5,5,1,0.22862246963712896,0.26060088475545234,1.0000000662273798,0.06380208333333337
5,14000,0.5,6,3,0.11121259574536924,0.11733131938510466,1.000000150115429,0.023509837962962965
5,14000,0.5,7,10,0.06757316434824912,0.06118884793034296,1.0000003024383481,0.004701967592592615
5,14000,0.75,4,9,0.6195125292848657,0.6734176918312355,1.000000206040788,0.1317997685185186
5,14000,0.75,5,10,0.3758048017819724,0.44530229215268746,1.0000000088303187,0.057942708333333315
5,14000,0.75,3,8,0.24397736567038075,0.2812244097391763,1.0000004032512804,0.060546875000000056
5,14000,0.75,1,7,0.14916647584350018,0.17165920469495988,1.000000144228525,0.03443287037037046
5,72000,0.35,4,1,0.3682031598356036,0.36164044450830524,1.000000438362221,0.1362123842592592
5,72000,0.35,5,2,0.31889683118572937,0.3310370886767353,1.000000290139013,0.1247106481481482
5,72000,0.35,6,3,0.1616624069434625,0.1660524915765833,1.000000391056955,0.05512152777777779
5,72000,0.35,7,10,0.05019332302941215,0.05428668304725931,1.000000034690538,-0.0007957175925926152
5,72000,0.5,4,1,0.6781865943361212,0.6875611057987918,1.000000432685661,0.16008391203703698
5,72000,0.5,5,2,0.5524056686295403,0.5864774386088054,1.0000001986821336,0.14807581018518517
5,72000,0.5,6,10,0.22226927457032375,0.2596672199390553,1.0000002008897444,0.04383680555555558
5,72000,0.5,7,3,0.0772505689550329,0.06046631601121666,1.0000001633608862,0.008825231481481455
5,72000,0.75,4,2,1.1337537235683868,1.1896641166121866,1.0000001530588567,0.16442418981481477
5,72000,0.75,5,1,0.7087557183371651,0.7531298354819969,1.0000000853597413,0.11241319444444442
5,72000,0.75,6,10,0.42154648568895126,0.4977541323061343,1.0000000264909505,0.05504918981481477
5,72000,0.75,3,9,0.30830038918389224,0.3729563112612122,1.0000000264909534,0.04600694444444453
5,143000,0.35,4,1,0.39548084195013405,0.39545012403417507,1.000000176606339,0.13592303240740738
5,143000,0.35,5,2,0.33128102730821674,0.3602073104293257,1.0000004730528085,0.12109374999999997
