target_id,run_id,step,layer,family_residual,block_ds,noise_ds,corrected_topk_residual,corrected_argmax_residual,topk_correction,argmax_correction
r3_s14000_l1,3,14000,1,0.0030381944444444,0.4364149305555556,0.439453125,0.00318287037037035,0.003689236111111105,0.00014467592592595,0.0006510416666667051
r3_s14000_l2,3,14000,2,-0.0177228009259259,0.396484375,0.378761574074074,-0.01743344907407407,-0.017505787037037035,0.00028935185185182885,0.00021701388888886383
r3_s14000_l3,3,14000,3,-0.0261863425925925,0.5729166666666666,0.5467303240740741,-0.0264033564814814,-0.02510127314814814,-0.00021701388888889853,0.0010850694444443608
r3_s14000_l4,3,14000,4,-0.0268373842592593,0.3695746527777778,0.3427372685185185,-0.026041666666666685,-0.02662037037037035,0.0007957175925926152,0.00021701388888895057
r3_s14000_l5,3,14000,5,-0.013527199074074,0.2888454861111111,0.2753182870370371,-0.012731481481481455,-0.014178240740740755,0.0007957175925925458,-0.0006510416666667546
r3_s14000_l8,3,14000,8,-0.0130931712962962,0.2545572916666666,0.2414641203703703,-0.013237847222222238,-0.012876157407407413,-0.0001446759259260376,0.0002170138888887875
r3_s14000_l9,3,14000,9,-0.025101273148148,0.2792968749999999,0.2541956018518518,-0.02510127314814814,-0.026403356481481455,-1.3877787807814457e-16,-0.0013020833333334536
r3_s14000_l10,3,14000,10,-0.0054976851851851,0.2983940972222222,0.2928964120370371,-0.00513599537037035,-0.00528067129629628,0.0003616898148147505,0.00021701388888882046
r3_s72000_l1,3,72000,1,0.0108506944444444,0.4557291666666667,0.4665798611111111,0.01128472222222221,0.01085069444444442,0.0004340277777778092,1.9081958235744878e-17
r3_s72000_l2,3,72000,2,-0.0047743055555555,0.46484375,0.4600694444444444,-0.00448495370370372,-0.004557291666666685,0.0002893518518517803,0.00021701388888881526
r3_s72000_l3,3,72000,3,-0.0322627314814815,0.6499565972222222,0.6176938657407407,-0.0317563657407407,-0.03247974537037046,0.0005063657407408037,-0.0002170138888889575
r3_s72000_l4,3,72000,4,-0.0329861111111111,0.3645833333333333,0.3315972222222222,-0.03305844907407407,-0.032986111111111105,-7.233796296297196e-05,-6.938893903907228e-18
r3_s72000_l5,3,72000,5,-0.0399305555555555,0.3046875,0.2647569444444444,-0.03993055555555558,-0.03949652777777779,-8.326672684688674e-17,0.00043402777777770685
r3_s72000_l6,3,72000,6,-0.0384837962962962,0.3559027777777778,0.3174189814814815,-0.037760416666666685,-0.038049768518518545,0.0007233796296295114,0.00043402777777765134
r3_s72000_l8,3,72000,8,-0.0239438657407405,0.3413628472222221,0.3174189814814815,-0.024160879629629595,-0.024811921296296335,-0.00021701388888909628,-0.000868055555555837
r3_s72000_l9,3,72000,9,-0.0141059027777777,0.3122829861111111,0.2981770833333333,-0.013888888888888895,-0.01302083333333337,0.00021701388888880485,0.0010850694444443296
r3_s72000_l10,3,72000,10,0.0089699074074073,0.3630642361111111,0.3720341435185185,0.008318865740740755,0.00853587962962965,-0.0006510416666665447,-0.0004340277777776496
r3_s143000_l1,3,143000,1,-0.0067274305555554,0.4748263888888888,0.4680989583333333,0.00267650462962965,0.004340277777777735,0.00940393518518505,0.011067708333333134
r3_s143000_l2,3,143000,2,-0.0249565972222222,0.5091145833333334,0.4841579861111111,-0.015046296296296335,-0.016927083333333315,0.009910300925925864,0.008029513888888885
r3_s143000_l3,3,143000,3,-0.0397135416666667,0.656467013888889,0.6167534722222222,-0.03327546296296291,-0.03732638888888895,0.0064380787037037895,0.0023871527777777485
r3_s143000_l4,3,143000,4,-0.0410879629629629,0.4194878472222222,0.3783998842592593,-0.033420138888888895,-0.038049768518518545,0.0076678240740740075,0.0030381944444443573
r3_s143000_l5,3,143000,5,-0.0403645833333333,0.3856336805555556,0.3452690972222222,-0.033709490740740755,-0.03211805555555558,0.006655092592592546,0.00824652777777772
r3_s143000_l8,3,143000,8,-0.0112847222222222,0.365234375,0.3539496527777778,-0.00477430555555558,0.002604166666666685,0.006510416666666619,0.013888888888888885
r3_s143000_l10,3,143000,10,0.0042679398148147,0.5028211805555556,0.5070891203703703,0.00933159722222221,0.023365162037037035,0.00506365740740751,0.019097222222222335
r5_s14000_l1,5,14000,1,0.0010127314814814,0.4192708333333333,0.4202835648148147,0.00166377314814814,0.0012297453703704053,0.00065104166666674,0.00021701388888900543
r5_s14000_l2,5,14000,2,-0.0057870370370369,0.4053819444444444,0.3995949074074074,-0.005208333333333315,-0.00600405092592593,0.0005787037037035848,-0.00021701388888903037
r5_s14000_l3,5,14000,3,-0.0089699074074073,0.3797743055555555,0.3708043981481481,-0.00810185185185186,-0.00896990740740744,0.0008680555555554397,-1.4051260155412137e-16
r5_s14000_l4,5,14000,4,-0.0324797453703703,0.431640625,0.3991608796296296,-0.031756365740740755,-0.032262731481481455,0.0007233796296295461,0.00021701388888884648
r5_s14000_l8,5,14000,8,-0.0142505787037037,0.3092447916666667,0.2949942129629629,-0.013888888888888895,-0.01425057870370372,0.0003616898148148043,-2.0816681711721685e-17
r5_s72000_l1,5,72000,1,0.0184461805555556,0.4507378472222221,0.4691840277777778,0.018663194444444475,0.01888020833333337,0.00021701388888887424,0.0004340277777777693
