tokens,intervened_nll,nll_damage,kl,top1_flip_rate,top1_retained_rate,top1_to_intact_top2_rate,other_flip_rate,top1_to_top2_share_of_flips,delta_b_mean,delta_b_median,delta_b_q10,delta_b_q25,delta_b_q75,delta_b_q90,delta_margin_mean,delta_margin_identity_max_abs,logit_delta_norm_mean,logit_delta_norm_median,cosine_alignment_mean,abs_cosine_alignment_mean,target_id,run_id,step,layer,match_class,selected_beta,family,intact_margin_mean,intact_margin_median,intact_margin_q10,intact_margin_q25,intact_margin_q75,intact_margin_q90,baseline_nll,stratum_0_count,stratum_0_flip_rate,stratum_1_count,stratum_1_flip_rate,stratum_2_count,stratum_2_flip_rate,reveal_kl,reveal_nll_damage,block_kl,block_nll_damage,corrected_block_ds,corrected_noise_ds,corrected_residual,corrected_reversal,ds,source_kl,source_nll,family_indicator,z_kl,z_nll_damage,z_intact_margin_mean,z_delta_b_mean,z_logit_delta_norm_mean,z_abs_cosine_alignment_mean,f_damage
4608,4.179701778623793,0.2768083678351507,0.19824758337603676,0.2801649305555556,0.7198350694444444,0.1506076388888889,0.12955729166666666,0.5375677769171185,-0.07102712243795395,-0.046875,-1.296875,-0.6015625,0.4921875,1.078125,-0.07102712243795395,0.0,164.69078063964844,158.97315979003906,-0.0002771254803519696,0.003153775352984667,r3_s14000_l7,3,14000,7,C,0.388543819998,block,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,1538,0.523407022106632,1538,0.264629388816645,1532,0.05156657963446475,0.2236615789157373,0.2335686595351607,0.1982475833760367,0.2768083678351507,0.2801649305555556,0.2543402777777778,-0.0258246527777777,False,0.2801649305555556,0.1982475833760367,0.2768083678351507,0.0,-1.1512135673473864,-0.9698808777542275,-1.7536412355019677,1.021246878697035,-0.8674773802411733,1.2307697847748926,-1.060547222550807
13824,4.136462070323803,0.2335686595351607,0.2236615789157373,0.2543402777777778,0.7456597222222222,0.1314380787037037,0.12290219907407407,0.5167804323094426,-0.024345291778445244,0.0,-1.0703125,-0.5,0.4765625,1.03125,-0.024345291778445244,0.0,188.45944213867188,174.37823486328125,-4.157001603743993e-05,0.002509376499801874,r3_s14000_l7,3,14000,7,C,0.388543819998,noise,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,4614,0.5075856090160381,4614,0.21391417425227569,4596,0.040687554395126196,0.2236615789157373,0.2335686595351607,0.1982475833760367,0.2768083678351507,0.2801649305555556,0.2543402777777778,-0.0258246527777777,False,0.2543402777777778,0.2236615789157373,0.2335686595351607,1.0,-1.0847744370398693,-1.0815594193213691,-1.7536412355019677,1.3783037990221194,-0.7978250541317061,0.22782363523471594,-1.0831669281806193
4608,4.105090936024983,0.2021975252363415,0.19522787464989555,0.2543402777777778,0.7456597222222222,0.1351996527777778,0.119140625,0.5315699658703071,-0.00805536936968565,-0.0078125,-1.0546875,-0.515625,0.5078125,1.046875,-0.00805536936968565,0.0,186.74179077148438,181.76571655273438,1.9536108197826252e-07,0.0025459518656134605,r3_s14000_l8,3,14000,8,A,0.355654776257,block,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,1538,0.5032509752925878,1538,0.2308192457737321,1532,0.028067885117493474,0.1921509680924592,0.2049733621102794,0.1952278746498955,0.2021975252363418,0.2543402777777778,0.2414641203703703,-0.0128761574074074,False,0.2543402777777778,0.1952278746498955,0.2021975252363418,0.0,-1.159107911282146,-1.1625840761366388,-1.7536412355019677,1.5029010876338402,-0.8028585059806725,0.2847497488172743,-1.1608459937093925
13824,4.107866772898921,0.2049733621102794,0.1921509680924592,0.24146412037037038,0.7585358796296297,0.13013599537037038,0.111328125,0.5389454763331336,-0.02056913450360298,-0.0078125,-0.9921875,-0.4609375,0.4609375,0.953125,-0.02056913450360298,0.0,179.86631774902344,167.59988403320312,-3.375440792297013e-05,0.0024271325673907995,r3_s14000_l8,3,14000,8,A,0.355654776257,noise,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,4614,0.4885132206328565,4614,0.2045947117468574,4596,0.030461270670147953,0.1921509680924592,0.2049733621102794,0.1952278746498955,0.2021975252363418,0.2543402777777778,0.2414641203703703,-0.0128761574074074,False,0.2414641203703703,0.1921509680924592,0.2049733621102794,1.0,-1.1671517859808025,-1.1554147073805192,-1.7536412355019677,1.4071866227710998,-0.8230065773870902,0.09981869710157579,-1.1612832466806609
4608,4.113992187711927,0.2110987769232855,0.20994527803526986,0.2805989583333333,0.7194010416666667,0.14778645833333334,0.1328125,0.5266821345707656,-0.0308074951171875,-0.0078125,-1.166406273841858,-0.5234375,0.5,1.0859375,-0.0308074951171875,0.0,172.16793823242188,164.4000244140625,-6.915687117725611e-05,0.0029012556187808514,r3_s14000_l9,3,14000,9,A,0.371322893124,block,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,1538,0.5260078023407022,1538,0.26007802340702213,1532,0.05483028720626632,0.2063104681394718,0.2150186785945189,0.2099452780352698,0.2110987769232855,0.2805989583333333,0.2541956018518518,-0.0264033564814814,False,0.2805989583333333,0.2099452780352698,0.2110987769232855,0.0,-1.1206325963800998,-1.1395941244093235,-1.7536412355019677,1.3288761225568266,-0.8455661161573657,0.8377465913726786,-1.1301133603947116
13824,4.117912089383161,0.21501867859451895,0.20631046813947182,0.25419560185185186,0.7458043981481481,0.13932291666666666,0.11487268518518519,0.5480933409220262,-0.03988291695713997,-0.0234375,-1.078125,-0.515625,0.4765625,0.9921875,-0.03988291695713997,0.0,186.25607299804688,175.88388061523438,-9.965881326934323e-05,0.0024990758392959833,r3_s14000_l9,3,14000,9,A,0.371322893124,noise,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,4614,0.5108365843086259,4614,0.21218032076289553,4596,0.038729329852045254,0.2063104681394718,0.2150186785945189,0.2099452780352698,0.2110987769232855,0.2805989583333333,0.2541956018518518,-0.0264033564814814,False,0.2541956018518518,0.2063104681394718,0.2150186785945189,1.0,-1.1301349828872795,-1.1294698909456566,-1.7536412355019677,1.2594606320534698,-0.8042818664317447,0.21179162688914357,-1.129802436916468
4608,4.198324945237902,0.29543153444925974,0.2584894531302982,0.2981770833333333,0.7018229166666667,0.1577690972222222,0.1404079861111111,0.5291120815138283,-0.02731916680932045,-0.0078125,-1.361718773841858,-0.65625,0.6015625,1.221093773841858,-0.02731916680932045,0.0,193.91615295410156,186.8155517578125,-8.59709398355335e-05,0.0030259257182478905,r3_s14000_l10,3,14000,10,A,0.443722056922,block,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,1538,0.546814044213264,1538,0.2958387516254877,1532,0.050913838120104436,0.266088264407935,0.2864877471217406,0.2584894531302982,0.2954315344492597,0.2981770833333333,0.292896412037037,-0.0052806712962962,False,0.2981770833333333,0.2584894531302982,0.2954315344492597,0.0,-0.9937248549440387,-0.9217813838261878,-1.7536412355019677,1.3555574190075714,-0.7818345617256873,1.0317838644151076,-0.9577531193851132
13824,4.189381157910383,0.28648774712174063,0.266088264407935,0.29289641203703703,0.707103587962963,0.14445891203703703,0.1484375,0.4932081995554458,-0.054846543818712234,-0.0390625,-1.2578125,-0.6171875,0.5234375,1.15625,-0.054846543818712234,0.0,214.6875762939453,208.53775024414062,-0.000161828997079283,0.0024760349187999964,r3_s14000_l10,3,14000,10,A,0.443722056922,noise,1.331377625465393,0.78125,0.1171875,0.3203125,1.734375,3.356640577316284,3.902893410788642,4614,0.5502817511920243,4614,0.28261811876896403,4596,0.044821583986074845,0.266088264407935,0.2864877471217406,0.2584894531302982,0.2954315344492597,0.2981770833333333,0.292896412037037,-0.0052806712962962,False,0.292896412037037,0.266088264407935,0.2864877471217406,1.0,-0.9738594854129677,-0.9448811956448592,-1.7536412355019677,1.1450078257130996,-0.7209654230792374,0.17593060327128138,-0.9593703405289135
4608,4.574332661098904,0.8519875208536778,0.82166412141588,0.4557291666666667,0.5442708333333333,0.1351996527777778,0.3205295138888889,0.2966666666666667,-0.2291845977306366,-0.140625,-2.1953125,-1.0703125,0.703125,1.703125,-0.2291845977306366,0.0,303.7366027832031,280.80767822265625,-0.0004369748057797551,0.002895989688113332,r3_s72000_l1,3,72000,1,A,0.657500841239,block,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,1538,0.6664499349804941,1538,0.4752925877763329,1532,0.2245430809399478,0.8235558801227145,0.8505623428909868,0.8216641214158799,0.8519875208536782,0.4557291666666667,0.4665798611111111,0.0108506944444444,True,0.4557291666666667,0.8216641214158799,0.8519875208536782,0.0,0.4785676507215024,0.5156788421051157,0.5020748105628693,-0.1884576306717116,-0.4600137564060762,0.8295506660375414,0.4971232464133091
13824,4.572907483136213,0.8505623428909868,0.8235558801227145,0.4665798611111111,0.5334201388888888,0.1456886574074074,0.3208912037037037,0.31224806201550387,-0.3513473868370056,-0.2578125,-2.4140625,-1.2265625,0.609375,1.5625,-0.3513473868370056,0.0,310.3426513671875,296.98760986328125,-0.0007675779052078724,0.002883704612031579,r3_s72000_l1,3,72000,1,A,0.657500841239,noise,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,4614,0.6777199826614652,4614,0.48526224534026874,4596,0.23585726718885988,0.8235558801227145,0.8505623428909868,0.8216641214158799,0.8519875208536782,0.4557291666666667,0.4665798611111111,0.0108506944444444,True,0.4665798611111111,0.8235558801227145,0.8505623428909868,1.0,0.48351322502277355,0.5119979246659248,0.5020748105628693,-1.1228483484392902,-0.4406552136338815,0.8104301016663522,0.4977555748443492
4608,4.520960330963135,0.7986151907179089,0.8010647826724582,0.4646267361111111,0.5353732638888888,0.1484375,0.3161892361111111,0.3194768799626343,-0.28040698170661926,-0.171875,-2.453125,-1.2109375,0.7421875,1.6953125,-0.28040698170661926,0.0,305.7991943359375,292.7304992675781,-0.0005872176843695343,0.0030126587953418493,r3_s72000_l2,3,72000,2,A,0.68417864495,block,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,1538,0.6794538361508452,1538,0.4798439531859558,1532,0.23368146214099217,0.7897802657551236,0.8069694660328048,0.8010647826724583,0.798615190717909,0.4646267361111111,0.4600694444444444,-0.0045572916666666,False,0.4646267361111111,0.8010647826724583,0.798615190717909,0.0,0.42471534918611714,0.3778299938138785,0.5020748105628693,-0.5802440369841201,-0.4539694825428808,1.011135147895611,0.4012726714999978
13824,4.529314606278031,0.8069694660328048,0.7897802657551236,0.4600694444444444,0.5399305555555556,0.15198206018518517,0.30808738425925924,0.33034591194968554,-0.38209202885627747,-0.263671875,-2.432421922683716,-1.265625,0.6015625,1.515625,-0.38209202885627747,0.0,301.38824462890625,287.8296813964844,-0.000816935789771378,0.002960300538688898,r3_s72000_l2,3,72000,2,A,0.68417864495,noise,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,4614,0.6625487646293888,4614,0.46532293021239707,4596,0.2515230635335074,0.7897802657551236,0.8069694660328048,0.8010647826724583,0.798615190717909,0.4646267361111111,0.4600694444444444,-0.0045572916666666,False,0.4600694444444444,0.7897802657551236,0.8069694660328048,1.0,0.3952145377628612,0.39940722732676437,0.5020748105628693,-1.3580059470340733,-0.46689544841854536,0.9296444505622035,0.3973108825448128
4608,5.481813218858507,1.7594680786132812,1.7865699529647827,0.6501736111111112,0.34982638888888884,0.1193576388888889,0.5308159722222222,0.1835781041388518,-0.4885263442993164,-0.333984375,-3.5125975608825684,-1.7978515625,0.984375,2.278515577316284,-0.4885263442993164,0.0,431.5286560058594,423.3993835449219,-0.0007436509476974607,0.0030320980586111546,r3_s72000_l3,3,72000,3,A,0.674128647469,block,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,1538,0.7847854356306893,1538,0.6638491547464239,1532,0.5013054830287206,1.754473787766916,1.7884020452146174,1.7865699529647827,1.7594680786132812,0.6501736111111112,0.6176938657407407,-0.0324797453703704,False,0.6501736111111112,1.7865699529647827,1.7594680786132812,0.0,3.001095215370484,2.8594991215576515,0.5020748105628693,-2.1720937484784915,-0.0855284802524929,1.0413905311098282,2.930297168464068
13824,5.510747185459843,1.7884020452146174,1.7544737877669159,0.6176938657407407,0.3823061342592593,0.12803819444444445,0.4896556712962963,0.20728422531912402,-0.3944467604160309,-0.265625,-3.5546875,-1.75,1.0625,2.5736327171325684,-0.3944467604160309,0.0,460.3079528808594,443.3088684082031,-0.000550916651263833,0.0029446363914757967,r3_s72000_l3,3,72000,3,A,0.674128647469,noise,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,4614,0.759211096662332,4614,0.6332899869960988,4596,0.4599651871192341,1.754473787766916,1.7884020452146174,1.7865699529647827,1.7594680786132812,0.6501736111111112,0.6176938657407407,-0.0324797453703704,False,0.6176938657407407,1.754473787766916,1.7884020452146174,1.0,2.9171870672549516,2.934229116713293,0.5020748105628693,-1.4525040063399401,-0.0011928532243984653,0.9052646800899025,2.9257080919841223
4608,4.15968738661872,0.43734224637349417,0.4207116829024421,0.3645833333333333,0.6354166666666667,0.14518229166666666,0.21940104166666666,0.3982142857142857,-0.2309008687734604,-0.171875,-1.75,-0.890625,0.484375,1.2265625,-0.2309008687734604,0.0,225.33038330078125,214.39599609375,-0.0006551176775246859,0.003010283689945936,r3_s72000_l4,3,72000,4,A,0.324685111242,block,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,1538,0.6235370611183355,1538,0.36280884265279584,1532,0.10639686684073107,0.430899691802484,0.4262613278848155,0.420711682902442,0.4373422463734943,0.3645833333333333,0.3315972222222222,-0.0329861111111111,False,0.3645833333333333,0.420711682902442,0.4373422463734943,0.0,-0.5696316089304102,-0.5552576036355399,0.5020748105628693,-0.20158493190082397,-0.6897774546532192,1.0074385199456735,-0.5624446062829751
13824,4.148606468130041,0.4262613278848155,0.430899691802484,0.3315972222222222,0.6684027777777778,0.14359085648148148,0.18800636574074073,0.4330279232111693,-0.14077667891979218,-0.078125,-1.546875,-0.7421875,0.546875,1.2265625,-0.14077667891979218,0.0,254.72637939453125,230.9145965576172,-0.0003034654655493796,0.0024893346708267927,r3_s72000_l4,3,72000,4,A,0.324685111242,noise,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,4614,0.5752058951018639,4614,0.3105765062852189,4596,0.10813751087902523,0.430899691802484,0.4262613278848155,0.420711682902442,0.4373422463734943,0.3645833333333333,0.3315972222222222,-0.0329861111111111,False,0.3315972222222222,0.430899691802484,0.4262613278848155,1.0,-0.5429973691538809,-0.583877149527349,0.5020748105628693,0.4877510521709425,-0.6036346356173798,0.19663041522661207,-0.563437259340615
4608,3.995475027296278,0.2731298870510521,0.2777864734331767,0.3042534722222222,0.6957465277777778,0.1484375,0.1558159722222222,0.48787446504992865,-0.1752997487783432,-0.1015625,-1.517968773841858,-0.7578125,0.4609375,1.109375,-0.1752997487783432,0.0,196.55560302734375,189.88365173339844,-0.0005379628855735064,0.002964322455227375,r3_s72000_l5,3,72000,5,A,0.269183573168,block,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,1538,0.5474642392717816,1538,0.29908972691807545,1532,0.06527415143603134,0.2754284899543833,0.2754917321381742,0.2777864734331767,0.2731298870510523,0.3042534722222222,0.2647569444444444,-0.0394965277777777,False,0.3042534722222222,0.2777864734331767,0.2731298870510523,0.0,-0.9432771697523518,-0.9793815748056686,0.5020748105628693,0.22369326288304256,-0.7740998461103938,0.9359041850203174,-0.9613293722790102
13824,3.9978368723834,0.27549173213817424,0.2754284899543833,0.2647569444444444,0.7352430555555556,0.1332465277777778,0.13151041666666666,0.5032786885245901,-0.10101503133773804,-0.046875,-1.1796875,-0.546875,0.4296875,0.984375,-0.10101503133773804,0.0,208.72189331054688,186.39572143554688,-0.0002439650852466002,0.0023944575805217028,r3_s72000_l5,3,72000,5,A,0.269183573168,noise,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,4614,0.5036844386649328,4614,0.22670134373645426,4596,0.06309834638816363,0.2754284899543833,0.2754917321381742,0.2777864734331767,0.2731298870510523,0.3042534722222222,0.2647569444444444,-0.0394965277777777,False,0.2647569444444444,0.2754284899543833,0.2754917321381742,1.0,-0.9494415830326561,-0.9732814546821158,0.5020748105628693,0.7918773306849952,-0.7384474212406584,0.04896315615085283,-0.961361518857386
4608,4.154150380028619,0.4318052397833929,0.3916894363032447,0.35546875,0.64453125,0.1586371527777778,0.1968315972222222,0.4462759462759463,-0.19543923437595367,-0.1171875,-1.822656273841858,-0.90625,0.609375,1.3671875,-0.19543923437595367,0.0,227.29920959472656,215.6785888671875,-0.0004985443083569407,0.003130517201498151,r3_s72000_l6,3,72000,6,A,0.349443536227,block,1.4385579824447632,0.828125,0.1171875,0.328125,1.8125,3.5335936546325684,3.722345140245226,1538,0.5949284785435631,1538,0.3550065019505852,1532,0.11553524804177545,0.4058621923128764,0.415422651502821,0.3916894363032446,0.4318052397833927,0.35546875,0.3174189814814814,-0.0380497685185185,False,0.35546875,0.3916894363032446,0.4318052397833927,0.0,-0.6455036936881497,-0.5695584591440934,0.5020748105628693,0.0696516881885109,-0.6840079530309083,1.1945706615709808,-0.6075310764161216
