target_id,run_id,step,progress,layer,target_kl,target_nll_damage
r3_s143000_l4,3,143000,1.0,4,0.5821225576930575,0.6313434176974825
r3_s143000_l5,3,143000,1.0,5,0.519927226834827,0.5389819410112168
r3_s143000_l6,3,143000,1.0,6,0.5446524057123395,0.6484564410315619
r3_s143000_l7,3,143000,1.0,7,0.32963044113583034,0.3853916856977673
r3_s143000_l8,3,143000,1.0,8,0.4659952885574765,0.48299596044752313
r3_s143000_l9,3,143000,1.0,9,0.3501909176508586,0.4008762836456299
r3_s143000_l10,3,143000,1.0,10,0.9711381859249539,1.0564743412865532
r5_s14000_l1,5,14000,0.0979020979020979,1,0.6387513412369622,0.622386932373047
r5_s14000_l2,5,14000,0.0979020979020979,2,0.5554652412732443,0.5288314819335939
r5_s14000_l3,5,14000,0.0979020979020979,3,0.4578365882237752,0.45117823282877617
r5_s14000_l4,5,14000,0.0979020979020979,4,0.6056164900461832,0.5590471161736382
r5_s14000_l5,5,14000,0.0979020979020979,5,0.2621959182951185,0.3067978488074406
r5_s14000_l6,5,14000,0.0979020979020979,6,0.24174278808964625,0.29391352335611964
r5_s14000_l7,5,14000,0.0979020979020979,7,0.2942386203342014,0.4118157492743599
r5_s14000_l8,5,14000,0.0979020979020979,8,0.28133611877759296,0.2636863125695119
r5_s14000_l9,5,14000,0.0979020979020979,9,0.23736354874240026,0.2960845894283719
r5_s14000_l10,5,14000,0.0979020979020979,10,0.25726069344414604,0.21002033021714958
r5_s72000_l1,5,72000,0.5034965034965035,1,0.8380605710877312,0.8611141840616862
r5_s72000_l2,5,72000,0.5034965034965035,2,0.7998163170284696,0.7792376942104763
r5_s72000_l3,5,72000,0.5034965034965035,3,0.539216568072637,0.4825680785708955
r5_s72000_l4,5,72000,0.5034965034965035,4,0.7240708205435012,0.7584351963467068
r5_s72000_l5,5,72000,0.5034965034965035,5,0.283903310696284,0.34201161066691066
r5_s72000_l6,5,72000,0.5034965034965035,6,0.3031642966800266,0.304299275080363
r5_s72000_l7,5,72000,0.5034965034965035,7,0.4716065890259213,0.609204822116428
r5_s72000_l8,5,72000,0.5034965034965035,8,0.4778973526424832,0.47620357407463904
r5_s72000_l9,5,72000,0.5034965034965035,9,0.3631946014033423,0.39854600694444436
r5_s72000_l10,5,72000,0.5034965034965035,10,0.4103629721535577,0.4008664025200736
r5_s143000_l1,5,143000,1.0,1,0.899085309770372,0.885656966103448
r5_s143000_l2,5,143000,1.0,2,1.0421509676509433,1.0174618032243514
r5_s143000_l3,5,143000,1.0,3,0.7940320438808866,0.7283867994944256
r5_s143000_l4,5,143000,1.0,4,1.0863103667895,1.1163584656185574
r5_s143000_l5,5,143000,1.0,5,0.4473706583182017,0.46496550242106105
r5_s143000_l6,5,143000,1.0,6,0.40990516543388367,0.41054696506924104
r5_s143000_l7,5,143000,1.0,7,0.6301431126064725,0.7427115705278186
r5_s143000_l8,5,143000,1.0,8,0.5062560439109802,0.4645285606384279
r5_s143000_l9,5,143000,1.0,9,0.4552549189991421,0.46971874766879607
r5_s143000_l10,5,143000,1.0,10,0.8987416625022888,0.9176686339908176
r6_s14000_l1,6,14000,0.0979020979020979,1,0.5865197479724884,0.6223341888851589
r6_s14000_l2,6,14000,0.0979020979020979,2,0.4509906868139903,0.48199033737182645
r6_s14000_l3,6,14000,0.0979020979020979,3,0.4482773906654782,0.48837253782484275
r6_s14000_l4,6,14000,0.0979020979020979,4,1.0445287028948467,1.0565301047431097
r6_s14000_l5,6,14000,0.0979020979020979,5,0.26503551999727887,0.2909433576795791
r6_s14000_l6,6,14000,0.0979020979020979,6,0.1680924081140094,0.19716986020406072
r6_s14000_l7,6,14000,0.0979020979020979,7,0.2799248728487227,0.38871230019463443
r6_s14000_l8,6,14000,0.0979020979020979,8,0.2307179205947452,0.27101831965976303
r6_s14000_l9,6,14000,0.0979020979020979,9,0.21340440213680267,0.2137982315487331
r6_s14000_l10,6,14000,0.0979020979020979,10,0.3138347069422404,0.4052749474843343
r6_s72000_l1,6,72000,0.5034965034965035,1,0.7643024126688639,0.7929642995198569
r6_s72000_l2,6,72000,0.5034965034965035,2,0.5691659980350071,0.5819150341881646
r6_s72000_l3,6,72000,0.5034965034965035,3,0.6611291766166687,0.652304967244466
r6_s72000_l4,6,72000,0.5034965034965035,4,1.7777680026160347,1.7505127059088814
r6_s72000_l5,6,72000,0.5034965034965035,5,0.32503095600340104,0.32531163427564813
r6_s72000_l6,6,72000,0.5034965034965035,6,0.22372630735238394,0.2139054139455158
r6_s72000_l7,6,72000,0.5034965034965035,7,0.45307992564307314,0.5356436570485431
r6_s72000_l8,6,72000,0.5034965034965035,8,0.4070446689923604,0.48362999492221403
r6_s72000_l9,6,72000,0.5034965034965035,9,0.37108295493655735,0.38378339343600815
r6_s72000_l10,6,72000,0.5034965034965035,10,0.4138943354288737,0.4598767492506239
r6_s143000_l1,6,143000,1.0,1,0.7476856973436145,0.7725881205664741
r6_s143000_l2,6,143000,1.0,2,0.6894046068191528,0.700036923090617
r6_s143000_l3,6,143000,1.0,3,0.8249830868509079,0.8161831167009143
r6_s143000_l4,6,143000,1.0,4,1.9717504978179932,1.937442382176717
r6_s143000_l5,6,143000,1.0,5,0.701086355580224,0.7230224344465467
r6_s143000_l6,6,143000,1.0,6,0.32916684945424396,0.36049575275845
r6_s143000_l7,6,143000,1.0,7,0.7113470170232986,0.8014676570892335
r6_s143000_l8,6,143000,1.0,8,0.4219082163439856,0.4686655733320448
r6_s143000_l9,6,143000,1.0,9,0.42085370421409607,0.4493070708380806
r6_s143000_l10,6,143000,1.0,10,1.0211710002687242,1.1513046953413224
r8_s14000_l1,8,14000,0.0979020979020979,1,0.4072243273258209,0.39173073238796635
r8_s14000_l2,8,14000,0.0979020979020979,2,0.5077182418770261,0.5116835700141059
r8_s14000_l3,8,14000,0.0979020979020979,3,0.5229583117696973,0.4941637251112196
r8_s14000_l4,8,14000,0.0979020979020979,4,1.222296569082472,1.2176927460564504
r8_s14000_l5,8,14000,0.0979020979020979,5,0.2210980537864897,0.2745188872019451
r8_s14000_l6,8,14000,0.0979020979020979,6,0.18686280316776702,0.21310692363315184
r8_s14000_l7,8,14000,0.0979020979020979,7,0.23135618534353042,0.3031896485222713
r8_s14000_l8,8,14000,0.0979020979020979,8,0.3236706985367669,0.44642938507927754
r8_s14000_l9,8,14000,0.0979020979020979,9,0.20558327767584061,0.18868380122714568
