generator,condition,seed,parameters,stream_examples,optimizer_updates,repeated_exposures,repeat_count_per_repeated_item,fresh_nll,fresh_accuracy,repeated_nll,memorization_gap,mean_train_nll,runtime_seconds,peak_cuda_bytes
recurrence4,duplicate_random,23,129408,60000,469,12000,24,2.01829526254109,0.1658935546875,1.9897509765625,0.028544285978589823,2.76039454053243,3.5385130000067875,72374272
recurrence4,duplicate_spaced,23,129408,60000,469,12000,24,1.80525107894625,0.19131905691964285,1.7761051199776785,0.029145958968571417,2.6720715259552,3.4310531000373885,72374272
recurrence4,duplicate_massed_early,23,129408,60000,469,12000,24,1.6605424923556191,0.21168736049107142,1.6569467424665179,0.003595749889101274,2.5500578564325966,3.0939042000100017,72374272
recurrence4,duplicate_massed_middle,23,129408,60000,469,12000,24,1.9877701827457972,0.17317417689732142,1.9773934151785715,0.01037676756722572,2.7546519617080687,3.2245716999750584,72374272
recurrence4,duplicate_massed_late,23,129408,60000,469,12000,24,1.995812816279275,0.17490931919642858,1.8596180594308036,0.13619475684847138,2.721908246231079,3.0525300999870524,72374272
recurrence4,all_unique,37,129408,60000,469,0,1,2.1897518038749695,0.14073835100446427,2.187974051339286,0.0017777525356836854,2.8269875100453694,2.968600800028071,72374272
recurrence4,duplicate_random,37,129408,60000,469,12000,24,2.2270780205726624,0.13370186941964285,2.190679478236607,0.03639854233605533,2.8339774331410728,3.06744910008274,72374272
recurrence4,duplicate_spaced,37,129408,60000,469,12000,24,2.1356033640248433,0.15004185267857142,2.105657296316964,0.02994606770787911,2.7906836957295735,3.0409922000253573,72374272
recurrence4,duplicate_massed_early,37,129408,60000,469,12000,24,1.8345277990613664,0.19620186941964285,1.8266658412388392,0.007861957822527188,2.706083895746867,3.2869517999934033,72374272
recurrence4,duplicate_massed_middle,37,129408,60000,469,12000,24,2.230495593377522,0.13181849888392858,2.2171915806361606,0.013304012741361504,2.836333047739665,3.350450300029479,72374272
recurrence4,duplicate_massed_late,37,129408,60000,469,12000,24,2.2131310573646,0.14460972377232142,2.0682699148995534,0.14486114246504656,2.7952566005706787,3.3417972000315785,72374272
recurrence4,all_unique,53,129408,60000,469,0,1,2.0209254920482635,0.15476771763392858,2.023833182198661,-0.0029076901503972685,2.7407835606892905,3.314583900035359,72374272
recurrence4,duplicate_random,53,129408,60000,469,12000,24,1.896090907709939,0.18503243582589285,1.8722019391741072,0.02388896853583189,2.70526619942983,3.646564899943769,72374272
recurrence4,duplicate_spaced,53,129408,60000,469,12000,24,1.892361853803907,0.18631417410714285,1.86245849609375,0.029903357710157064,2.6987193281173707,3.5410436999518424,72374272
recurrence4,duplicate_massed_early,53,129408,60000,469,12000,24,1.7050615761961256,0.20660400390625,1.6992210867745536,0.005840489421572004,2.61603497021993,3.3497038999339566,72374272
recurrence4,duplicate_massed_middle,53,129408,60000,469,12000,24,1.9807411006518774,0.16321672712053573,1.9759519391741072,0.0047891614777701985,2.7347868264516193,3.2885756000177935,72374272
recurrence4,duplicate_massed_late,53,129408,60000,469,12000,24,2.043733822447913,0.15809849330357142,1.9070335867745536,0.13670023567335932,2.7361215267181396,3.347684600041248,72374272
recurrence4,all_unique,71,129408,60000,469,0,1,2.1581587067672183,0.14554268973214285,2.149945242745536,0.008213464021682437,2.8309388984680175,3.5546497999457642,72374272
recurrence4,duplicate_random,71,129408,60000,469,12000,24,2.0908540742737904,0.15445382254464285,2.0618272530691963,0.0290268212045941,2.792295558547974,3.486037699971348,72374272
recurrence4,duplicate_spaced,71,129408,60000,469,12000,24,2.180864257471902,0.13811383928571427,2.145713623046875,0.03515063442502697,2.835768510691325,3.370238299947232,72374272
recurrence4,duplicate_massed_early,71,129408,60000,469,12000,24,1.7235807733876365,0.20785086495535715,1.7183160226004464,0.005264750787190131,2.7186645717620848,3.22777309990488,72374272
recurrence4,duplicate_massed_middle,71,129408,60000,469,12000,24,2.1315248693738664,0.14856828962053573,2.117726632254464,0.013798237119402312,2.807325126139323,3.265463300049305,72374272
recurrence4,duplicate_massed_late,71,129408,60000,469,12000,24,2.2211503982543945,0.14444405691964285,2.0642838309151785,0.156866567339216,2.8227728356679282,3.3251291000051424,72374272
