run_id,step,layer,reason,closest_beta,closest_score,absolute_kl_gap,absolute_nll_gap,relative_kl_gap,relative_nll_gap,kl_caliper,nll_caliper
3,14000,2,no_joint_caliper_match,0.5,9.451060320843757,0.2063745238162853,0.18317913126062452,0.5178695102730982,0.4272365218089815,0.03985068047488177,0.04287534466496223
3,14000,4,no_joint_caliper_match,0.5,2.97364433966694,0.0641211436854468,0.0777838671648946,0.14148496604974306,0.1558794679163264,0.045320111016432456,0.04990000813095658
3,14000,5,no_joint_caliper_match,0.35,3.9941835518431494,0.0395883647380052,0.06339791969016761,0.16658913458902963,0.23282922059372924,0.02376407371075065,0.027229365596064828
3,14000,6,no_joint_caliper_match,0.5,3.5447301582988073,0.09772328204578828,0.029258516099717746,0.2840364530393424,0.07043656278954327,0.03440519024928411,0.041538818677266456
3,14000,7,no_joint_caliper_match,0.35,4.238848973532511,0.012578789834622989,0.0841229756673176,0.06552880049324983,0.35835609685813336,0.019195818845872528,0.023474688000149194
3,14000,9,no_joint_caliper_match,0.35,2.1389930259815095,0.024313513327527903,0.018368659196076303,0.12292681677789047,0.09097248581918843,0.01977885213715059,0.020191444732524735
3,14000,10,no_joint_caliper_match,0.5,4.449926309847422,0.0745761504879704,0.06305636299980993,0.25213595805475786,0.19285667292854206,0.02957775283742834,0.032695971594916474
3,72000,1,no_joint_caliper_match,0.75,6.7690842515190965,0.33910885122087275,0.34259024372807256,0.3421131013315548,0.3347953238196825,0.09912185470263163,0.10232826427177147
3,72000,2,no_joint_caliper_match,0.75,4.961733778528798,0.21321219868130148,0.24001079135470926,0.23490033987670356,0.261273037975633,0.09076708820131091,0.09186205863952637
3,72000,3,no_joint_caliper_match,0.75,3.4945738013844667,0.304033049830684,0.3750385178460016,0.15683233804611707,0.19262504209214978,0.19385864778801248,0.19469873375362823
3,72000,4,no_joint_caliper_match,0.35,2.771723178102323,0.07360328899489516,0.05400096928631837,0.16087681950825733,0.11629549830137288,0.045751332739988965,0.046434273101665355
3,72000,5,no_joint_caliper_match,0.35,9.266705105220904,0.1612627881544607,0.17096528300532604,0.4499295452934649,0.4767409652260407,0.03584178675104071,0.03586125285537153
3,72000,7,no_joint_caliper_match,0.35,3.72851503277186,0.08406979287112198,0.032717784245808956,0.27426529820879475,0.0985862050671995,0.03065272691073241,0.03318698008855183
3,72000,8,no_joint_caliper_match,0.35,3.9651606679185813,0.05217905839284265,0.08803274896409763,0.15213337553909256,0.2443826912516436,0.034298232197761534,0.03602249754799735
3,72000,9,no_joint_caliper_match,0.35,1.896353091905727,0.01690367857615155,0.043581194347805385,0.05442286616245787,0.1352124430275201,0.03105988303820292,0.032231644789377845
3,143000,1,no_joint_caliper_match,0.75,3.8934441133745334,0.17126276757982029,0.19637967922069421,0.1844642113144074,0.20488020002263352,0.09284335772196453,0.09585097984031395
3,143000,3,no_joint_caliper_match,0.75,3.1047790648078557,0.2608623504638674,0.34518833513613134,0.1360013924390964,0.17447651404153006,0.19180858797497222,0.19784229243243182
3,143000,4,no_joint_caliper_match,0.35,3.0902425841000536,0.06663740674654639,0.10828374050281653,0.12142299333706172,0.18760126507239738,0.05488038543197844,0.05772015474460743
3,143000,5,no_joint_caliper_match,0.35,3.9214665736645467,0.08538224189369764,0.1038576496971978,0.17890985371831977,0.21323680364732223,0.047723610588797816,0.04870531161626179
3,143000,6,no_joint_caliper_match,0.5,4.4403381998512845,0.18358162045478832,0.10940025470874937,0.28844933193833217,0.15558448804612182,0.06364432159397337,0.07031565683859366
3,143000,8,no_joint_caliper_match,0.5,5.176779702686529,0.14737348092926872,0.1346048072532373,0.273074649522854,0.2446033207448485,0.0539682029022111,0.055029836407414184
3,143000,9,no_joint_caliper_match,0.35,3.923284597872752,0.04219034976429409,0.0935305047918249,0.1282008372676436,0.2641276225184962,0.032909574276871155,0.03541110312497175
