run_id,step,progress,layer,beta,top1_agreement,top1_damage,intervened_nll,nll_damage,kl,activation_relative_magnitude,activation_absolute_rms,family,catastrophic
2,143000,1.0,3,0.35,0.6022858796296297,0.39771412037037035,4.348783387078179,0.6535193390316434,0.6418569087982178,0.35000013311704,0.19997266431649527,activation_noise,False
2,143000,1.0,3,0.5,0.462818287037037,0.537181712962963,5.010035885704888,1.3147718376583524,1.2837687465879652,0.5000001192092896,0.28567534133240025,activation_noise,False
2,143000,1.0,3,0.75,0.2839988425925926,0.7160011574074074,6.363927735222711,2.6686636871761746,2.600043694178263,0.7499999602635702,0.4285124926655381,activation_noise,True
2,143000,1.0,4,0.35,0.6135706018518519,0.38642939814814814,4.266624106301202,0.5713600582546658,0.5842318612116355,0.35000000618122246,0.20275688944039522,activation_noise,False
2,143000,1.0,4,0.5,0.4856770833333333,0.5143229166666666,4.815436045328776,1.1201719972822402,1.11994989933791,0.5000000640198037,0.2896528288170143,activation_noise,False
2,143000,1.0,4,0.75,0.3120659722222222,0.6879340277777778,5.925730246084708,2.2304661980381715,2.2033138275146484,0.7500000640198037,0.43447928848089995,activation_noise,False
2,143000,1.0,5,0.35,0.6414930555555556,0.3585069444444444,4.179651922649807,0.4843878746032715,0.49686092138290405,0.34999997085995144,0.21638335287570953,activation_noise,False
2,143000,1.0,5,0.5,0.5189525462962963,0.48104745370370366,4.635169806303802,0.9399057582572655,0.9424654002542849,0.5000001600495092,0.3091191616323259,activation_noise,False
2,143000,1.0,5,0.75,0.3549623842592593,0.6450376157407408,5.592436613859954,1.8971725658134178,1.86550239721934,0.7500000596046448,0.4636787198207996,activation_noise,False
2,143000,1.0,6,0.35,0.6608796296296297,0.33912037037037035,4.127624811949553,0.4323607639030172,0.4377142091592153,0.3500001099374559,0.22776415226636107,activation_noise,False
2,143000,1.0,6,0.5,0.548828125,0.451171875,4.511843487068458,0.8165794390219229,0.8124293751186795,0.5000000794728597,0.32537745877548496,activation_noise,False
2,143000,1.0,6,0.75,0.3909866898148148,0.6090133101851852,5.313669893476698,1.6184058454301622,1.590204194740013,0.7500001258320279,0.48806605736414593,activation_noise,False
2,143000,1.0,7,0.35,0.6753472222222222,0.3246527777777778,4.075866178230004,0.38060213018346706,0.3922937159185056,0.3500000437100728,0.2790306773450639,activation_noise,False
2,143000,1.0,7,0.5,0.5654658564814815,0.4345341435185185,4.425513161553277,0.7302491135067408,0.7309609784020318,0.5000000286985328,0.3986152708530426,activation_noise,False
2,143000,1.0,7,0.75,0.40697337962962965,0.5930266203703703,5.1835287941826715,1.4882647461361358,1.4656250300230804,0.7499998763755515,0.597922905727669,activation_noise,False
2,143000,1.0,8,0.35,0.6838831018518519,0.31611689814814814,4.053059233559503,0.3577951855129665,0.36169423328505623,0.3499999929357458,0.32373725484918664,activation_noise,False
2,143000,1.0,8,0.5,0.5766782407407408,0.42332175925925924,4.3853995093592895,0.690135461312753,0.6829563467590897,0.5000001335585559,0.4624818099869622,activation_noise,False
2,143000,1.0,8,0.75,0.41767939814814814,0.5823206018518519,5.133336685321949,1.4380726372754133,1.4050917669578835,0.7499999845469439,0.693722700631177,activation_noise,False
