target_id,run_id,step,progress,layer,selected_beta,match_class,target_kl,target_nll_damage,achieved_kl,achieved_nll_damage,relative_kl_error,relative_nll_error
r3_s143000_l6,3,143000,1.0,6,0.439430195617,B,0.5446524057123395,0.6484564410315619,0.5798634312770985,0.6001770672974769,0.06464861844985804,0.0744527630216887
r3_s143000_l7,3,143000,1.0,7,0.34368540005,B,0.32963044113583034,0.3853916856977673,0.3470906239968759,0.35529554331744206,0.05296896366982623,0.07809234993162043
r3_s143000_l8,3,143000,1.0,8,0.430339887499,A,0.4659952885574765,0.48299596044752313,0.4732493382913095,0.47077649611013905,0.015566787716401317,0.025299309596785766
r3_s143000_l9,3,143000,1.0,9,0.391649440013,B,0.3501909176508586,0.4008762836456299,0.3709440959824456,0.37275726706893364,0.059262468800572204,0.0701438766117753
r3_s143000_l10,3,143000,1.0,10,0.78055982873,A,0.9711381859249539,1.0564743412865532,1.0073547164599101,1.0224278502994113,0.03729287042752287,0.03222651952497824
r5_s14000_l1,5,14000,0.0979020979020979,1,0.631372890605,A,0.6387513412369622,0.622386932373047,0.637866806100916,0.622766229841444,0.0013847879118843562,0.000609423894795225
r5_s14000_l2,5,14000,0.0979020979020979,2,0.602549156242,A,0.5554652412732443,0.5288314819335939,0.5433142968901882,0.5390104717678499,0.0218752560559535,0.019248078418135795
r5_s14000_l3,5,14000,0.0979020979020979,3,0.543941998153,A,0.4578365882237752,0.45117823282877617,0.4524185028341081,0.456472149601689,0.01183410310363199,0.01173353763037186
r5_s14000_l4,5,14000,0.0979020979020979,4,0.482595788767,A,0.6056164900461832,0.5590471161736382,0.5859072638882531,0.5757453000103983,0.03254407117678484,0.02986900988063367
r5_s14000_l5,5,14000,0.0979020979020979,5,0.341539469398,B,0.2621959182951185,0.3067978488074406,0.28210615228723596,0.2820330019350408,0.07593647575257541,0.08072040585872094
r5_s14000_l6,5,14000,0.0979020979020979,6,0.359720085635,C,0.24174278808964625,0.29391352335611964,0.2642236909380666,0.2599025037553577,0.09299513348870068,0.11571777716208324
r5_s14000_l7,5,14000,0.0979020979020979,7,0.434405196877,C,0.2942386203342014,0.4118157492743599,0.34265227891780714,0.3153805909333407,0.1645387628872516,0.23417064187250883
r5_s14000_l8,5,14000,0.0979020979020979,8,0.408687082529,A,0.28133611877759296,0.2636863125695119,0.2790945569674174,0.2653562051278575,0.007967557880257865,0.006332875385403462
r5_s14000_l9,5,14000,0.0979020979020979,9,0.41622458064,C,0.23736354874240026,0.2960845894283719,0.27087435015925654,0.24145431871767364,0.14117922315478537,0.18450899729696935
r5_s14000_l10,5,14000,0.0979020979020979,10,0.396264602468,B,0.25726069344414604,0.21002033021714958,0.24079000894670133,0.22169770134819888,0.06402332310029571,0.055601146417206065
r5_s72000_l1,5,72000,0.5034965034965035,1,0.675681457476,A,0.8380605710877312,0.8611141840616862,0.8391068445311652,0.859731744836878,0.0012484460903282634,0.001605407564285979
r5_s72000_l2,5,72000,0.5034965034965035,2,0.66755083872,A,0.7998163170284696,0.7792376942104763,0.7851884696218703,0.7929579416910806,0.018289008482506756,0.017607268722399327
r5_s72000_l3,5,72000,0.5034965034965035,3,0.472912360003,B,0.539216568072637,0.4825680785708955,0.4954400261243184,0.5125466894220421,0.08118545412043104,0.062123070676089465
r5_s72000_l4,5,72000,0.5034965034965035,4,0.418143959365,A,0.7240708205435012,0.7584351963467068,0.737617329314903,0.7425995226259583,0.01870881740713534,0.02087940248159125
r5_s72000_l5,5,72000,0.5034965034965035,5,0.275168261271,B,0.283903310696284,0.34201161066691066,0.30845318679456357,0.30946759824399583,0.08647266577477936,0.09515470062364254
r5_s72000_l6,5,72000,0.5034965034965035,6,0.295861376879,A,0.3031642966800266,0.304299275080363,0.3019549449284871,0.30551235764114937,0.003989096885019686,0.003986478641666308
r5_s72000_l7,5,72000,0.5034965034965035,7,0.442535815633,C,0.4716065890259213,0.609204822116428,0.5238082982875683,0.5248868553726758,0.1106891007807083,0.1384065977197722
r5_s72000_l8,5,72000,0.5034965034965035,8,0.441349574343,A,0.4778973526424832,0.47620357407463904,0.4812389744652642,0.47320494828400816,0.006992342192935132,0.006296940959444745
r5_s72000_l9,5,72000,0.5034965034965035,9,0.387950699353,B,0.3631946014033423,0.39854600694444436,0.3850915178104683,0.3737809039928295,0.060289762905226356,0.06213863022093932
r5_s72000_l10,5,72000,0.5034965034965035,10,0.417777390647,A,0.4103629721535577,0.4008664025200736,0.40830724217273573,0.4021171817073115,0.00500954062699332,0.0031201896177171346
r5_s143000_l1,5,143000,1.0,1,0.709756742507,A,0.899085309770372,0.885656966103448,0.8954945449475888,0.890961956094813,0.003993797678327425,0.005989892468975782
r5_s143000_l2,5,143000,1.0,2,0.748037353707,A,1.0421509676509433,1.0174618032243514,1.0344151236392833,1.0255920886993408,0.007422959102642749,0.007990752526744896
r5_s143000_l3,5,143000,1.0,3,0.531379501301,B,0.7940320438808866,0.7283867994944256,0.7493629698400144,0.7658388791260897,0.056256009294653554,0.05141784510318997
r5_s143000_l4,5,143000,1.0,4,0.507947334397,A,1.0863103667895,1.1163584656185574,1.100381663552037,1.1071453006179244,0.012953293269317247,0.008252873323731138
r5_s143000_l5,5,143000,1.0,5,0.323725421879,A,0.4473706583182017,0.46496550242106105,0.45469033497351186,0.4564867814381923,0.01636154834742761,0.018235161401656794
r5_s143000_l6,5,143000,1.0,6,0.315594803123,A,0.40990516543388367,0.41054696506924104,0.4137583286673934,0.40457772325586383,0.009400133392858799,0.014539729485896765
r5_s143000_l7,5,143000,1.0,7,0.434405196877,C,0.6301431126064725,0.7427115705278186,0.6855157525451095,0.6635369459788008,0.08787311775813961,0.10660211539810081
