experiment,magnitude_definition,run_id,stage,step,high_layer,high_alpha,low_layer,low_alpha,high_top1_damage,low_top1_damage,directional_ds_contrast,high_kl,low_kl,absolute_kl_gap,high_nll_damage,low_nll_damage,absolute_nll_gap,high_magnitude,low_magnitude,magnitude_log_gap,magnitude_ratio,match_score
A,activation_absolute_rms,1,pilot,72000,2,0.5,4,0.5,0.18880208333333334,0.15321180555555555,0.03559027777777779,0.1040736445122295,0.06568764729632272,0.038385997215906784,0.07368747393290202,0.09702518251207144,0.02333770857916942,0.21249017616113028,0.21034215887387595,0.010160224692338635,1.010212015027108,0.10621781377557622
A,activation_absolute_rms,1,pilot,72000,4,0.75,10,0.25,0.2378472222222222,0.09309895833333333,0.1447482638888889,0.16728678014543322,0.02747731759316392,0.1398094625522693,0.21069492234124074,0.04286853472391764,0.1678263876173231,0.31551312737994724,0.31224743525187176,0.010404354086068936,1.0104586675802196,0.1077649990485154
A,activation_absolute_rms,1,pilot,72000,8,0.75,9,0.5,0.2684461805555555,0.16710069444444445,0.10134548611111108,0.17773313323656717,0.07822118368413712,0.09951194955243005,0.24115620719061978,0.0588685671488444,0.1822876400417754,0.438601275285085,0.4335278636879391,0.011634673354571436,1.0117026194210157,0.1210765561477052
A,activation_absolute_rms,1,pilot,72000,3,0.75,6,1.0,0.40625,0.37543402777777773,0.030815972222222265,0.5733332700199552,0.455051428741879,0.11828184127807617,0.5834278530544704,0.5232586595747207,0.060169193479749694,0.4848961499002245,0.49380315012402004,0.018202212150114735,1.0183688821320365,0.1897958597041266
A,activation_absolute_rms,1,pilot,72000,1,0.75,8,0.5,0.3368055555555555,0.18142361111111108,0.15538194444444445,0.4386652823951509,0.07374508844481574,0.36492019395033515,0.4246697690751818,0.11388487286037874,0.31078489621480304,0.2762861682309045,0.2924009395970239,0.05668877128190567,1.0583263775718643,0.5911327132587437
A,activation_absolute_rms,1,pilot,72000,8,1.0,10,0.5,0.345703125,0.18077256944444445,0.16493055555555555,0.34452547960811186,0.1116549339559343,0.23287054565217757,0.43461627430386035,0.13992828792995882,0.29468798637390153,0.5848018791940478,0.6244948705037435,0.06566999394035641,1.0678742540369384,0.6866847249575133
A,activation_absolute_rms,1,pilot,72000,9,1.0,10,0.75,0.3446180555555555,0.2738715277777778,0.07074652777777773,0.47367902596791583,0.27567857172754073,0.1980004542403751,0.4445488452911377,0.31379347377353256,0.13075537151760513,0.8670557273758782,0.9367408421304492,0.0773034105991821,1.080369822324421,0.8090919161893444
A,activation_absolute_rms,1,pilot,72000,4,1.0,7,0.75,0.3213975694444445,0.22200520833333334,0.09939236111111113,0.33526556359397036,0.1505194240146213,0.18474613957934907,0.3872364626990423,0.14235403802659766,0.24488242467244467,0.4206843177477519,0.3871537744998932,0.0830607490974233,1.0866078169873763,0.8696307927419057
A,activation_absolute_rms,1,pilot,143000,5,1.0,8,0.5,0.35004340277777773,0.16948784722222224,0.1805555555555555,0.39023393392562866,0.07192535284492704,0.3183085810807016,0.42194051212734635,0.07731787363688152,0.3446226384904648,0.27621663279003567,0.2773062354988522,0.0039369795852176835,1.0039447396697678,0.038123935047829884
A,activation_absolute_rms,1,pilot,143000,5,0.5,8,0.25,0.18684895833333334,0.103515625,0.08333333333333334,0.09303257945511074,0.02087015368872219,0.07216242576638855,0.09635358386569548,0.018564992480807785,0.0777885913848877,0.13810831639501783,0.1386531177494261,0.0039369795852176835,1.0039447396697678,0.04058539660097301
A,activation_absolute_rms,1,pilot,143000,6,1.0,7,1.0,0.4572482638888889,0.34331597222222215,0.11393229166666674,0.7877564430236816,0.3413412835862902,0.44641515943739146,0.87864875793457,0.38899797863430435,0.4896507793002656,0.4219160808457268,0.4195965793397691,0.0055127094096817765,1.0055279323525643,0.05337551905780152
